"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Paneth","log2fold_change","Auc"
"112","Hpn","hurdle",1.95239729340613e-09,-3.113162,-2.427319,0.685843,0.53
"3","1810041H14Rik","hurdle",3.86245806558723e-08,-3.047178,-2.349457,0.697721,0.53
"188","Smim5","hurdle",4.49431260415569e-13,-3.244816,-2.538137,0.706679,0.529
"120","Klhdc8a","hurdle",5.68924960742967e-16,-3.277688,-2.59691,0.680778,0.529
"117","Kdelr3","hurdle",3.85743029697819e-08,-3.103984,-2.427319,0.676665,0.529
"81","Gcnt3","hurdle",7.35737382796827e-06,-2.832386,-2.299789,0.532597,0.529
"69","Ern2","hurdle",1.7264413342923e-06,-2.949879,-2.374946,0.574933,0.529
"31","C4bp","hurdle",4.99484326528437e-12,-3.223678,-2.509624,0.714054,0.529
"143","Nkx2-2","hurdle",4.07598212991662e-10,-3.043274,-2.538137,0.505137,0.528
"114","Ifitm1","hurdle",1.2572650503947e-10,-3.165239,-2.374946,0.790293,0.528
"70","Ero1lb","hurdle",2.70435650134935e-05,-2.838293,-2.299789,0.538504,0.528
"17","Arhgdig","hurdle",0.0025808132173341,-2.49593,-1.993076,0.502854,0.528
"231","Wfikkn2","hurdle",1.1678841656431e-19,-3.308982,-2.567224,0.741758,0.527
"138","Mt3","hurdle",2.94102871221059e-11,-3.226995,-2.427319,0.799676,0.527
"49","Ctsl","hurdle",0.000287191938548345,-2.384938,-1.825565,0.559373,0.527
"4","2610016A17Rik","hurdle",8.43496531647809e-21,-3.312501,-2.59691,0.715591,0.527
"135","Mmp20","hurdle",2.90313869771199e-15,-3.283432,-2.59691,0.686522,0.526
"131","Mcf2l","hurdle",0.0012188354647581,-2.574737,-2.053533,0.521204,0.525
"100","Gm9994","hurdle",4.24017782560612e-07,-3.129623,-2.59691,0.532713,0.525
"197","St6galnac4","hurdle",1.28975493931681e-12,-3.278835,-2.68982,0.589015,0.524
"51","Cybrd1","hurdle",1.86265004010348e-12,-3.247059,-2.59691,0.650149,0.524
"235","Zfp667","hurdle",4.8482604963531e-09,-3.24034,-2.68982,0.55052,0.523
"202","Tceal8","hurdle",2.87416229741126e-05,-3.033561,-2.509624,0.523937,0.523
"225","Vill","hurdle",1.78219234932093e-10,-3.268545,-2.722169,0.546376,0.522
"201","Tbc1d16","hurdle",3.19683024521313e-07,-3.207206,-2.68982,0.517386,0.522
"205","Tle6","hurdle",2.23663130298231e-08,-3.249305,-2.68982,0.559485,0.52
"115","Insrr","hurdle",1.63744839060627e-12,-3.303135,-2.789127,0.514008,0.52
"211","Tmem59l","hurdle",5.67890168241391e-14,-3.308982,-2.789127,0.519855,0.519
"133","Mgll","hurdle",0.000103960883204638,-3.109076,-2.59691,0.512166,0.519
"196","St3gal1","hurdle",0.000125989952631098,-3.091838,-2.567224,0.524614,0.518
"150","Pdia2","hurdle",1.76333102702767e-10,-3.273109,-2.59691,0.676199,0.517
"172","Retnlb","hurdle",3.40960606916075e-06,-3.231429,-2.481664,0.749765,0.514
