"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.EE","log2fold_change","Auc"
"657","Tm4sf4","hurdle",2.00141118130904e-134,-0.2278547,2.9478834,3.1757381,0.868
"142","Chgb","hurdle",2.40074743040372e-252,-2.829679,4.427552,7.257231,0.831
"253","Fxyd3","hurdle",3.35223518078815e-113,-0.1107253,2.2205176,2.3312429,0.82
"575","Sct","hurdle",1.40609616880679e-305,-1.381453,5.329522,6.710975,0.817
"579","Selm","hurdle",1.32551530670195e-78,0.03301166,1.83987817,1.80686651,0.812
"308","Hepacam2","hurdle",5.8283794969283e-98,-2.2529698,0.7663917,3.0193615,0.78
"141","Chga","hurdle",2.69481766356345e-172,-3.016426,3.266067,6.282493,0.769
"96","Bex2","hurdle",6.01182950768772e-165,-3.1983149,0.8776451,4.07596,0.768
"60","Aplp1","hurdle",1.19855314406008e-158,-2.97248,1.042361,4.014841,0.768
"158","Cpe","hurdle",3.15355841084029e-173,-3.254313,1.696623,4.950936,0.759
"455","Pcsk1n","hurdle",2.0641460143182e-175,-3.28372,1.190184,4.473904,0.754
"422","Neurod1","hurdle",6.21643236509638e-171,-3.2860066,0.3695158,3.6555224,0.754
"185","Ddc","hurdle",1.87141576596946e-62,-1.1550308,0.6871512,1.842182,0.754
"317","Hmgn3","hurdle",5.67495025501375e-139,-3.061752,1.017382,4.079134,0.752
"229","Fam183b","hurdle",4.01551305954401e-158,-1.737435,1.183783,2.921218,0.75
"580","Sepp1","hurdle",4.34105180102243e-44,-0.2469423,1.5122397,1.759182,0.749
"652","Tff3","hurdle",1.52862701059455e-39,2.468122,3.339886,0.871764,0.746
"367","Krt7","hurdle",6.79278536771541e-98,0.1019772,2.1679807,2.0660035,0.743
"264","Gch1","hurdle",1.81701613222306e-100,-2.1608954,0.5295055,2.6904009,0.731
"414","Myl7","hurdle",1.72850392621378e-181,-2.442136,2.724672,5.166808,0.729
"132","Cdkn1a","hurdle",2.2374665688496e-65,-1.110776,1.486467,2.597243,0.727
"268","Gfra3","hurdle",5.4807812634405e-133,-3.2167404,0.1107614,3.3275018,0.725
"293","Gpx3","hurdle",1.29915589956451e-150,-3.253194,1.968324,5.221518,0.724
"571","Scg5","hurdle",2.55313617224123e-157,-3.3067552,0.4302582,3.7370134,0.722
"536","Resp18","hurdle",1.44444453310978e-154,-3.295191,1.315502,4.610693,0.722
"343","Itm2c","hurdle",6.13127389564506e-72,-1.2044667,0.6080924,1.8125591,0.716
"692","Tuba1a","hurdle",4.58338921563904e-80,-2.0987649,0.1637589,2.2625238,0.713
"425","Ngfrap1","hurdle",1.79131983697884e-54,-0.1940403,1.4890654,1.6831057,0.712
"240","Fev","hurdle",4.52476560928412e-138,-3.2802957,0.3119845,3.5922802,0.709
"163","Cryba2","hurdle",2.62881897053116e-115,-3.2178316,-0.2473811,2.9704505,0.707
"707","Vwa5b2","hurdle",1.89331135233955e-130,-3.2768799,-0.2560564,3.0208235,0.706
"560","Rundc3a","hurdle",2.26556890258028e-112,-3.2233001,-0.4614368,2.7618633,0.704
"149","Cldn4","hurdle",1.22925735657036e-42,-1.653834,0.150691,1.804525,0.703
"337","Insm1","hurdle",5.7130006447712e-113,-3.1983149,-0.4121259,2.786189,0.702
"133","Cdkn1c","hurdle",2.83134781640541e-87,-2.859172,1.006543,3.865715,0.697
"454","Pcsk1","hurdle",4.15272656459564e-107,-3.1972383,-0.3458052,2.8514331,0.696
"428","Nkx2-2","hurdle",3.57591140270207e-105,-3.1907958,-0.1073637,3.0834321,0.696
"105","Cacna1a","hurdle",2.07503315950758e-54,-2.2285694,-0.2647842,1.9637852,0.695
"471","Pkm","hurdle",7.6842009268157e-23,0.841778,1.732149,0.890371,0.688
"554","Rph3al","hurdle",6.70303355759749e-60,-2.1246267,-0.1311058,1.9935209,0.686
"111","Camk2n1","hurdle",4.73333035583657e-31,-0.7264443,0.4988955,1.2253398,0.686
"430","Npdc1","hurdle",2.01401057430533e-29,-1.40053042,0.04165362,1.44218404,0.684
"122","Cck","hurdle",3.26713748591884e-110,-2.891892,4.12795,7.019842,0.678
"563","S100a13","hurdle",6.13976644487807e-37,-1.84123577,-0.03839538,1.80284039,0.675
"548","Rimbp2","hurdle",1.48737199634894e-106,-3.28372,-0.71288,2.57084,0.673
"407","Mid1ip1","hurdle",5.0804753446935e-29,-1.32568756,0.05574255,1.38143011,0.673
"16","5330417C22Rik","hurdle",1.93229455930375e-32,-2.0148125,-0.4121259,1.6026866,0.673
"578","Selk","hurdle",1.75327542324848e-16,0.7457573,1.3672581,0.6215008,0.671
"398","Marcksl1","hurdle",5.52327208801443e-31,-0.1777575,1.2918893,1.4696468,0.671
"138","Celf3","hurdle",4.29881069030349e-107,-3.2871515,-0.6774891,2.6096624,0.671
"556","Rprml","hurdle",1.73368662302494e-91,-3.213472,-0.300233,2.913239,0.669
"421","Nenf","hurdle",2.07016203075688e-18,-0.03965809,0.8127575,0.85241559,0.669
"160","Cplx2","hurdle",3.89783365674667e-71,-2.998499,-0.6429457,2.3555533,0.669
"680","Trp53i11","hurdle",3.12336792730097e-36,-1.8551766,-0.2131925,1.6419841,0.665
"609","Smim6","hurdle",6.45207741583615e-18,-0.4787498,0.5295055,1.0082553,0.664
"674","Tph1","hurdle",3.15635599127853e-109,-3.272338,1.721141,4.993479,0.663
"687","Tspan1","hurdle",4.99632342303685e-22,-0.6281464,0.5888433,1.2169897,0.662
"694","Tusc3","hurdle",3.56113281717261e-26,-1.4896475,-0.1715654,1.3180821,0.659
"272","Gip","hurdle",2.45928274141865e-135,-1.801021,5.078175,6.879196,0.659
"223","Fabp5","hurdle",5.9957505205096e-142,-2.203494,2.461814,4.665308,0.658
"89","Bambi","hurdle",5.79660107480362e-42,-2.23352692,-0.05343926,2.18008766,0.657
"492","Prnp","hurdle",4.21530244660928e-82,-3.2189236,-0.4614368,2.7574868,0.656
"256","Gadd45a","hurdle",8.10355442971247e-72,-1.21805,1.017382,2.235432,0.656
"641","Tac1","hurdle",2.45248777321291e-93,-3.21565,1.880023,5.095673,0.653
"242","Ffar2","hurdle",5.23947615233366e-68,-3.1156493,-0.5654223,2.550227,0.653
"506","Pycr2","hurdle",5.49620046850339e-27,-1.38819329,-0.08400598,1.30418731,0.651
"408","Mien1","hurdle",3.98455039040532e-14,0.5695967,1.2186403,0.6490436,0.649
"247","Fos","hurdle",2.37155750218769e-17,-0.8258885,0.335273,1.1611615,0.648
"410","Mtch1","hurdle",7.32464512246795e-23,0.7571871,1.6299159,0.8727288,0.647
"690","Ttr","hurdle",7.7540108352663e-33,-0.8091394,0.9051408,1.7142802,0.646
"439","Olfm1","hurdle",1.3506198767904e-75,-3.239831,-0.7989999,2.4408311,0.644
"528","Rbp4","hurdle",1.25759868100942e-100,-3.067642,2.304039,5.371681,0.642
"501","Ptov1","hurdle",2.58487995513349e-14,-0.1205136,0.7006639,0.8211775,0.641
"286","Gng4","hurdle",2.7351673126575e-88,-3.2974967,-0.9883887,2.309108,0.641
"76","Atp6v0b","hurdle",3.87727202199248e-12,0.3669854,0.984617,0.6176316,0.641
"695","Ubc","hurdle",7.04831369242655e-12,0.7924341,1.4062673,0.6138332,0.639
"562","S100a1","hurdle",1.80376018937283e-22,-0.3451697,0.8086035,1.1537732,0.638
"148","Cited2","hurdle",5.56458249270253e-29,-1.2545366,0.09037444,1.34491104,0.638
"469","Pkdcc","hurdle",1.48539583268701e-20,-1.8696822,-0.5762453,1.2934369,0.637
"386","Maged1","hurdle",2.2381393967198e-25,-1.7682782,-0.3738559,1.3944223,0.637
"638","Syt13","hurdle",1.7661182604081e-87,-3.302119,-1.293073,2.009046,0.636
"572","Scgn","hurdle",6.06956058211478e-89,-3.2963436,-0.1152344,3.1811092,0.636
"56","Anxa5","hurdle",1.23682412527892e-48,-2.917371,-0.7863778,2.1309932,0.636
"424","Neurog3","hurdle",7.14773424734772e-61,-2.863435,1.02814,3.891575,0.635
"702","Upp1","hurdle",1.53136855187271e-30,-1.74410126,0.09037444,1.8344757,0.634
"549","Rnase4","hurdle",3.12716669186714e-11,-0.109459,0.6317981,0.7412571,0.634
"514","Rab3d","hurdle",1.55526010828155e-16,-1.5681883,-0.4715045,1.0966838,0.634
"108","Cacna2d1","hurdle",1.98953769563064e-87,-3.3067552,-0.8245802,2.482175,0.633
"125","Cd24a","hurdle",1.40930765206129e-09,1.964623,2.55651,0.591887,0.632
"570","Scg3","hurdle",1.30998576205713e-87,-3.3102425,-0.9456602,2.3645823,0.631
"79","Atp6v1b2","hurdle",4.75350109376149e-35,-1.5430109,-0.1552451,1.3877658,0.631
"468","PISD","hurdle",3.76611679787929e-20,-0.8823006,0.1702488,1.0525494,0.63
"518","Rap1b","hurdle",3.2954856936036e-13,-0.9616543,-0.06102044,0.90063386,0.628
"254","Fxyd6","hurdle",8.22253337623946e-78,-3.2882973,-0.6891899,2.5991074,0.628
"51","Ambp","hurdle",1.59632785411798e-80,-3.246497,0.569334,3.815831,0.627
"276","Gm15200","hurdle",5.92719921780169e-55,-2.8711408,-0.6658825,2.2052583,0.626
"194","Dnajc12","hurdle",1.12974740833319e-32,-2.769238,-1.047403,1.721835,0.624
"677","Tpst2","hurdle",4.05986463634577e-34,-1.8336881,-0.4514388,1.3822493,0.621
"258","Gadd45g","hurdle",1.34186839195436e-20,-1.877421,-0.1552451,1.7221759,0.62
"288","Gnptg","hurdle",2.25833308090996e-15,-1.9296554,-0.8506224,1.079033,0.619
"427","Nisch","hurdle",1.88530716075286e-09,-0.3717949,0.2581687,0.6299636,0.618
"417","Ndrg1","hurdle",2.5441532909554e-16,-1.8412358,-0.5762453,1.2649905,0.618
"267","Gdi1","hurdle",1.17010587549047e-16,-1.931892,-0.7863778,1.1455142,0.618
"533","Reep5","hurdle",1.35939761077561e-20,-1.180866,-0.392864,0.788002,0.617
"341","Isl1","hurdle",1.53360199939405e-70,-3.28257732,-0.04589771,3.23667961,0.615
"244","Fgd2","hurdle",8.03935717136621e-48,-3.175874,-1.240478,1.935396,0.614
"553","Rogdi","hurdle",1.0264233005996e-38,-2.6356372,-0.9041608,1.7314764,0.613
"598","Slc25a4","hurdle",1.53486712095461e-09,-0.5740452,0.245932,0.8199772,0.61
"452","Pax6","hurdle",1.52786344293554e-71,-3.309079,-1.002917,2.306162,0.608
"304","H1fx","hurdle",6.7577324164703e-20,-2.3376181,-0.8117334,1.5258847,0.608
"37","Adgrg4","hurdle",1.33946720533192e-70,-3.310243,-1.077841,2.232402,0.608
"596","Slc18a1","hurdle",1.59958653222304e-49,-3.205873,-1.257798,1.948075,0.607
"489","Prkar1a","hurdle",1.26009132926388e-07,-0.3265113,0.2273801,0.5538914,0.607
"345","Junb","hurdle",8.06259899228999e-12,-0.84346569,0.09037444,0.93384013,0.607
"57","Anxa6","hurdle",6.88328967374964e-58,-3.274607,-1.293073,1.981534,0.607
"714","Ypel3","hurdle",2.20769452854585e-10,-0.9933043,-0.1391074,0.8541969,0.606
"640","Syt7","hurdle",6.06988518084065e-42,-3.152733,-1.257798,1.894935,0.606
"275","Gm14964","hurdle",9.15035257669878e-74,-3.318412,-1.293073,2.025339,0.606
"547","Riiad1","hurdle",4.13515095002359e-61,-3.290592,-1.206451,2.084141,0.605
"100","Btg2","hurdle",3.41070881354618e-14,-1.1750262,-0.1073637,1.0676625,0.605
"627","Stard10","hurdle",5.68003426278662e-09,0.9425893,1.4838646,0.5412753,0.603
"167","Ctsl","hurdle",2.04183865006519e-17,-2.403135,-1.077841,1.325294,0.603
"103","C2cd4b","hurdle",5.30335262443432e-34,-3.049071,-1.156869,1.892202,0.603
"66","Arl3","hurdle",1.36923874366906e-19,-2.1793775,-0.9178617,1.2615158,0.603
"577","Sdccag8","hurdle",4.72451028921772e-10,-0.96234,-0.1471537,0.8151863,0.602
"175","Cyp4b1","hurdle",1.10975797626943e-20,-2.4737226,-0.7863778,1.6873448,0.602
"508","Qpct","hurdle",3.70319551542068e-66,-3.312572,-1.017594,2.294978,0.601
"539","Rfx6","hurdle",3.65608476233128e-62,-3.306755,-1.56758,1.739175,0.6
"1","1110008P14Rik","hurdle",1.44861793500161e-08,-1.2303852,-0.4614368,0.7689484,0.599
"473","Pla2g2f","hurdle",3.42499086575811e-34,-3.117685,-1.40439,1.713295,0.597
"340","Isg20","hurdle",8.1645285320301e-28,-3.032656,-1.52502,1.507636,0.596
"54","Ang","hurdle",5.32697640977738e-08,-0.9627973,-0.1797952,0.7830021,0.596
"669","Tnfrsf12a","hurdle",7.5079131884857e-13,-1.7750889,-0.6429457,1.1321432,0.595
"390","Map1lc3a","hurdle",6.31395374194288e-09,-1.5495218,-0.7248725,0.8246493,0.595
"239","Fbxo9","hurdle",6.90071735190679e-16,-1.4318429,-0.4316485,1.0001944,0.595
"110","Camk2b","hurdle",1.84153846369259e-26,-2.999437,-1.483679,1.515758,0.595
"597","Slc25a35","hurdle",8.53319220750751e-24,-2.90238,-1.463445,1.438935,0.593
"513","Rab3c","hurdle",2.93232039960728e-63,-3.316073,-1.40439,1.911683,0.593
"147","Cirbp","hurdle",1.21685271364349e-06,-0.1045309,0.4410327,0.5455636,0.593
"328","Ifi27","hurdle",2.19471359467561e-06,0.1794468,0.7273154,0.5478686,0.592
"98","Bnip3","hurdle",1.061437854628e-24,-2.984502,-1.52502,1.459482,0.592
"569","Scg2","hurdle",4.08743244736111e-63,-3.3172425,-0.2560564,3.0611861,0.591
"565","S100a6","hurdle",2.70968432853837e-20,-1.077463,1.212365,2.289828,0.591
"520","Rap1gap2","hurdle",7.89882031298928e-18,-2.269281,-1.077841,1.19144,0.591
"206","Egr1","hurdle",7.26680343044574e-14,-2.0852587,-0.8905888,1.1946699,0.591
"502","Ptprn","hurdle",3.94675242863131e-56,-3.305595,-1.293073,2.012522,0.59
"397","Marcks","hurdle",2.42973076371984e-08,-0.7612211,-0.05343926,0.70778184,0.59
"248","Fosb","hurdle",1.19256333506687e-19,-2.711996,-1.223364,1.488632,0.59
"301","Gstt1","hurdle",2.62173829003972e-33,-0.9662317,0.5594795,1.5257112,0.589
"296","Grina","hurdle",1.36501551300033e-09,-1.795309,-1.047403,0.747906,0.589
"102","C1qtnf4","hurdle",8.57181589872893e-18,-2.691387,-1.40439,1.286997,0.589
"611","Snap25","hurdle",9.97011415483773e-59,-3.316073,-1.679822,1.636251,0.588
"266","Gdap1l1","hurdle",1.61329673573083e-59,-3.316073,-1.679822,1.636251,0.588
"72","Asph","hurdle",2.92977593272777e-08,-1.6942696,-0.8771433,0.8171263,0.588
"466","Pim2","hurdle",1.1379918696358e-31,-3.136134,-1.546143,1.589991,0.587
"10","1810043G02Rik","hurdle",1.18931540186602e-14,-2.613927,-1.463445,1.150482,0.587
"666","Tmigd3","hurdle",1.62516695771045e-56,-3.313738,-1.366322,1.947416,0.586
"458","Pdk3","hurdle",8.04683806573182e-14,-2.0832685,-0.9597629,1.1235056,0.586
"325","Id2","hurdle",5.23622196977399e-12,-0.9273329,0.1241944,1.0515273,0.586
"4","1500009L16Rik","hurdle",7.72751882038263e-21,-2.834692,-1.257798,1.576894,0.586
"708","Wbp2","hurdle",4.62123511893492e-07,-1.0595,-0.4024628,0.6570372,0.585
"679","Trim35","hurdle",6.74715796565368e-21,-2.876301,-1.483679,1.392622,0.585
"546","Rhoc","hurdle",2.82300008298795e-07,-1.1684181,-0.4121259,0.7562922,0.585
"87","Baiap2l2","hurdle",1.13501720414371e-06,-0.2045478,0.3581916,0.5627394,0.585
"6","1700023F06Rik","hurdle",1.34331517001382e-43,-3.281436,-1.776359,1.505077,0.585
"636","Syp","hurdle",2.79776245580544e-42,-3.275743,-1.727283,1.54846,0.584
"633","Suox","hurdle",4.10210453110101e-14,-2.567284,-1.463445,1.103839,0.584
"531","Rcn1","hurdle",1.16112032787149e-17,-2.370611,-1.047403,1.323208,0.584
"326","Id3","hurdle",7.83312404011722e-14,0.4857788,1.389678,0.9038992,0.584
"92","Bcam","hurdle",3.80323980577983e-36,-3.048101,-1.257798,1.790303,0.584
"594","Sis","hurdle",2.32167284551947e-11,-1.0730129,-0.4715045,0.6015084,0.583
"404","Mgll","hurdle",1.45365087394181e-29,-3.141301,-1.52502,1.616281,0.583
"389","Map1b","hurdle",2.35236139962413e-53,-3.311407,-1.633872,1.677535,0.583
"7","1700086L19Rik","hurdle",1.29938712882633e-52,-3.306755,-1.463445,1.84331,0.583
"327","Ids","hurdle",5.0559367007448e-26,-3.056861,-1.504201,1.55266,0.582
"318","Hpcal1","hurdle",2.86044051963679e-09,-1.0599892,-0.3274032,0.732586,0.582
"153","Cmip","hurdle",9.56080791092836e-06,-0.965315,-0.3833286,0.5819864,0.582
"44","AI413582","hurdle",1.78777696320307e-08,-1.962203,-1.124736,0.837467,0.582
"701","Upb1","hurdle",1.00484424713702e-16,-2.618243,-1.366322,1.251921,0.581
"470","Pkib","hurdle",7.97282212510308e-52,-3.3114068,-0.7369656,2.5744412,0.581
"709","Wdr6","hurdle",1.5534742353448e-12,-2.352521,-1.257798,1.094723,0.58
"451","Pax4","hurdle",6.32760115305818e-47,-3.29289,-1.44349,1.8494,0.58
"134","Ceacam10","hurdle",1.76616511590774e-05,-0.1016324,0.627088,0.7287204,0.58
"704","Vamp2","hurdle",1.92400819825903e-09,-1.954452,-1.062541,0.891911,0.579
"595","Slc16a11","hurdle",1.6597958916289e-11,-2.512697,-1.504201,1.008496,0.579
"534","Reg4","hurdle",7.34961589753883e-28,-0.8126386,3.5516714,4.36431,0.579
"524","Rasd1","hurdle",9.77067906034787e-29,-3.125855,-1.40439,1.721465,0.579
"449","Papss1","hurdle",3.28953861816975e-08,-1.4683882,-0.6891899,0.7791983,0.579
"11","2210013O21Rik","hurdle",5.21231083736725e-06,-1.2218763,-0.5654223,0.656454,0.579
"568","Scarb1","hurdle",2.13123929381182e-28,-2.825514,-1.366322,1.459192,0.578
"541","Rgs2","hurdle",9.12536011431919e-21,-2.7541192,-0.8117334,1.9423858,0.578
"375","Lmx1a","hurdle",2.74572188823947e-52,-3.314905,-1.366322,1.948583,0.578
"265","Gck","hurdle",2.80795305469694e-52,-3.316073,-1.853253,1.46282,0.578
"173","Cyp2c68","hurdle",2.56065328757417e-10,-2.299575,-1.275328,1.024247,0.578
"80","Atxn10","hurdle",2.01614537501547e-06,-1.531772,-0.8245802,0.7071918,0.578
"672","Tox3","hurdle",3.97235756402825e-13,-1.7595119,-0.6891899,1.070322,0.577
"332","Igsf8","hurdle",6.39632903991585e-16,-1.607334,-0.60921,0.998124,0.577
"587","Serpinf2","hurdle",4.46777695110613e-34,-3.249841,-1.656664,1.593177,0.576
"706","Vim","hurdle",6.6718038857223e-43,-3.278018,-0.392864,2.885154,0.575
"693","Tubb3","hurdle",4.14019981172474e-46,-3.303276,-1.347658,1.955618,0.575
"564","S100a14","hurdle",9.7003894119327e-20,-2.994753,-1.589341,1.405412,0.575
"164","Crybb1","hurdle",3.48731735817765e-48,-3.310243,-1.483679,1.826564,0.575
"374","Llgl2","hurdle",1.85585962474835e-05,-1.4548162,-0.8638219,0.5909943,0.574
"312","Hist1h1c","hurdle",3.35593138686272e-08,-1.2216026,-0.2047704,1.0168322,0.574
"109","Cacnb3","hurdle",8.36627813573459e-11,-2.565894,-1.589341,0.976553,0.574
"584","Serpina1c","hurdle",2.12122632234698e-46,-3.304435,-0.8638219,2.4406131,0.573
"460","Peg3","hurdle",9.70550479913815e-46,-3.311407,-1.633872,1.677535,0.573
"423","Neurod2","hurdle",1.98892400095816e-42,-3.299806,-1.504201,1.795605,0.573
"279","Gm43861","hurdle",4.16477353876344e-48,-3.316073,-1.656664,1.659409,0.573
"270","Ghrl","hurdle",2.30819398242671e-52,-3.115649,2.967579,6.083228,0.573
"118","Cbfa2t3","hurdle",2.11865141872959e-16,-2.89538,-1.56758,1.3278,0.573
"29","Acly","hurdle",1.79027425972365e-07,-1.7378263,-0.9041608,0.8336655,0.573
"696","Ubqln2","hurdle",5.2602042826691e-14,-2.352521,-1.275328,1.077193,0.572
"559","Rtn2","hurdle",3.22472316944694e-40,-3.298651,-1.879822,1.418829,0.572
"545","Rhob","hurdle",9.29172234457727e-11,-2.518064,-1.504201,1.013863,0.572
"26","Abcc8","hurdle",8.44013817726929e-40,-3.29289,-1.703357,1.589533,0.572
"590","Sez6l2","hurdle",7.17843045670316e-30,-3.246497,-1.934476,1.312021,0.571
"542","Rgs4","hurdle",2.57404297011305e-48,-3.3160735,-0.5546799,2.7613936,0.571
"372","Lhx1os","hurdle",6.1686412399668e-46,-3.314905,-1.934476,1.380429,0.571
"214","Etnk1","hurdle",3.67181811527608e-06,-1.6479392,-0.9456602,0.702279,0.571
"172","Cxxc5","hurdle",2.00940742011253e-11,-2.61034,-1.504201,1.106139,0.571
"52","Amigo2","hurdle",4.37245866581909e-50,-3.320755,-1.463445,1.85731,0.571
"639","Syt5","hurdle",1.05279182825193e-39,-3.302119,-1.906891,1.395228,0.57
"509","Rab15","hurdle",1.00174818859962e-06,-1.832016,-1.017594,0.814422,0.57
"305","Hap1","hurdle",1.5054916370201e-15,-2.951453,-1.776359,1.175094,0.57
"336","Impdh1","hurdle",1.06888394792557e-10,-2.606048,-1.589341,1.016707,0.569
"269","Ghr","hurdle",7.06301071378177e-08,-2.317593,-1.504201,0.813392,0.569
"177","Cyth2","hurdle",1.41398718557852e-05,-1.1461744,-0.5334322,0.6127422,0.569
"112","Camk2n2","hurdle",1.65383637562159e-25,-3.197238,-1.827163,1.370075,0.569
"527","Rbp1","hurdle",7.98843419707861e-21,-3.094449,-1.751612,1.342837,0.568
"444","Ovol2","hurdle",1.40133198139872e-05,-1.684054,-1.002917,0.681137,0.568
"324","Ica1","hurdle",2.73046216311096e-13,-2.413724,-1.31104,1.102684,0.568
"85","Bace1","hurdle",1.85022841196578e-14,-2.923589,-1.801538,1.122051,0.568
"344","Itpr3","hurdle",6.21213390531258e-09,-0.8691677,-0.1880723,0.6810954,0.567
"316","Hmgcr","hurdle",6.54441194392287e-08,-2.1277,-1.240478,0.887222,0.567
"300","Gse1","hurdle",7.59890156689812e-07,-1.911003,-1.093304,0.817699,0.567
"273","Gm11992","hurdle",5.27908822706183e-37,-3.286007,-1.56758,1.718427,0.567
"682","Trp53inp2","hurdle",1.85830803018881e-10,-2.650294,-1.589341,1.060953,0.566
"630","Stxbp1","hurdle",1.47402994360031e-19,-3.111587,-1.801538,1.310049,0.566
"612","Snx15","hurdle",4.14203028810149e-08,-1.4073611,-0.7009863,0.7063748,0.566
"373","Limd2","hurdle",1.1446669932492e-09,-2.187372,-1.240478,0.946894,0.566
"338","Ip6k2","hurdle",2.96509889790427e-05,-1.30844,-0.71288,0.59556,0.566
"691","Ttyh1","hurdle",7.10395511234913e-25,-3.20804,-1.853253,1.354787,0.565
"676","Tpst1","hurdle",1.25501576326162e-26,-3.16531,-1.633872,1.531438,0.565
"507","Pyy","hurdle",1.624891629625e-41,-3.310243,1.411755,4.721998,0.565
"461","Pfkl","hurdle",0.000179100622630588,-1.441052,-0.8771433,0.5639087,0.565
"83","B9d1","hurdle",2.34104659440089e-06,-1.864973,-1.108934,0.756039,0.565
"215","Ets1","hurdle",2.76050664097079e-30,-3.271205,-1.879822,1.391383,0.564
"603","Slc6a19","hurdle",2.28755182530804e-06,-1.6343982,-0.8506224,0.7837758,0.563
"416","Myt1","hurdle",6.2749070759137e-38,-3.306755,-1.934476,1.372279,0.563
"283","Gnao1","hurdle",3.49201303877799e-38,-3.311407,-2.050418,1.260989,0.563
"241","Ffar1","hurdle",2.21631916927265e-38,-3.309079,-1.656664,1.652415,0.563
"32","Adcy1","hurdle",1.26907440171554e-25,-3.23651,-1.934476,1.302034,0.563
"15","4933407L21Rik","hurdle",9.06648758306875e-39,-3.310243,-1.611435,1.698808,0.563
"629","Stx1a","hurdle",3.58968127835924e-23,-3.197238,-1.879822,1.317416,0.562
"532","Rcor2","hurdle",4.5173384794947e-17,-3.063712,-1.827163,1.236549,0.562
"503","Ptprn2","hurdle",5.23662103803543e-30,-3.281436,-1.991283,1.290153,0.562
"357","Kdm7a","hurdle",3.34729005498973e-09,-2.19541,-1.275328,0.920082,0.562
"321","Hspa4l","hurdle",1.36848800826957e-05,-2.002537,-1.293073,0.709464,0.562
"667","Tmprss7","hurdle",2.3445704561569e-21,-3.180122,-1.827163,1.352959,0.561
"606","Slco2a1","hurdle",3.52131942686842e-10,-2.745438,-1.751612,0.993826,0.561
"290","Golim4","hurdle",4.51151471339543e-05,-1.718391,-1.077841,0.64055,0.561
"115","Card19","hurdle",2.02707423129338e-05,-1.2776762,-0.6316126,0.6460636,0.561
"635","Syn2","hurdle",5.39001785719027e-33,-3.299806,-1.853253,1.446553,0.56
"392","Mapk15","hurdle",6.2283355497001e-37,-3.312572,-2.112081,1.200491,0.56
"362","Klc3","hurdle",7.49144592329949e-16,-3.097459,-1.991283,1.106176,0.56
"187","Disp2","hurdle",2.23595390231605e-34,-3.305595,-2.020547,1.285048,0.56
"168","Ctxn1","hurdle",1.10781711386045e-09,-2.731345,-1.751612,0.979733,0.56
"140","Chd3","hurdle",0.000223155513967949,-1.723032,-1.140713,0.582319,0.56
"88","Baiap3","hurdle",2.79548530859853e-36,-3.309079,-1.776359,1.53272,0.56
"69","Arx","hurdle",2.13993083292672e-37,-3.309079,-1.827163,1.481916,0.56
"681","Trp53i13","hurdle",2.33106407746363e-10,-2.823852,-1.827163,0.996689,0.559
"662","Tmem199","hurdle",5.35434367914764e-05,-2.008661,-1.366322,0.642339,0.559
"653","Tgfb1","hurdle",1.89773350120175e-23,-3.194013,-1.727283,1.46673,0.559
"576","Sdcbp2","hurdle",0.000396410603704163,-1.414537,-0.8245802,0.5899568,0.559
"472","Pla2g2d","hurdle",5.10742662873769e-26,-3.267811,-2.020547,1.247264,0.559
"311","Hid1","hurdle",3.31314965721819e-08,-2.637826,-1.751612,0.886214,0.559
"218","Eva1b","hurdle",4.31743939295704e-16,-3.125855,-2.08092,1.044935,0.559
"161","Cpn1","hurdle",1.50876746325897e-08,-2.697463,-1.801538,0.895925,0.559
"493","Prodh2","hurdle",2.89378206249062e-14,-3.043256,-1.934476,1.10878,0.558
"485","Ppp1r14c","hurdle",5.14948407296283e-20,-3.098463,-2.050418,1.048045,0.558
"463","Phf21b","hurdle",1.96516201031694e-09,-2.799959,-1.934476,0.865483,0.558
"368","Lcorl","hurdle",1.5170335081877e-05,-2.184702,-1.463445,0.721257,0.558
"322","Hspb1","hurdle",5.95384707823655e-38,-3.316073,-1.423808,1.892265,0.558
"315","Hk2","hurdle",1.12148091506296e-05,-1.5307546,-0.8506224,0.6801322,0.558
"200","Dusp1","hurdle",3.84713725879574e-10,-2.767639,-1.656664,1.110975,0.557
"685","Trpm2","hurdle",4.47399871158418e-39,-3.320755,-1.827163,1.493592,0.556
"631","Stxbp5","hurdle",7.33561266888568e-06,-2.378521,-1.656664,0.721857,0.556
"496","Prrg2","hurdle",0.000182169724436904,-1.4503204,-0.8771433,0.5731771,0.556
"354","Kctd12","hurdle",1.34924088311169e-09,-2.304783,-1.329233,0.97555,0.556
"204","Ece1","hurdle",0.000118753577622729,-1.704176,-1.077841,0.626335,0.556
"82","B630019K06Rik","hurdle",2.42169978899831e-21,-3.196163,-1.934476,1.261687,0.556
"65","Arhgef2","hurdle",4.32191235155335e-07,-2.558272,-1.801538,0.756734,0.556
"5","1500011B03Rik","hurdle",1.12449619250119e-05,-1.869682,-1.189733,0.679949,0.556
"712","Wnt3","hurdle",1.13323384644278e-08,-2.653244,-1.504201,1.149043,0.555
"522","Rasa4","hurdle",9.71109068684013e-07,-2.543148,-1.727283,0.815865,0.555
"441","Osbpl2","hurdle",8.4770427599608e-06,-2.394472,-1.656664,0.737808,0.555
