"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Ent","log2fold_change","Auc"
"219","Cyp4f16","hurdle",3.94473645088831e-117,-1.7497442,-0.2861212,1.463623,0.633
"16","Aamdc","hurdle",2.23875617276899e-65,0.09442078,0.8299656,0.73554482,0.633
"507","Optn","hurdle",1.79556156951311e-123,-2.3327827,-0.8316872,1.5010955,0.632
"742","Tmem106a","hurdle",2.48058138077799e-128,-2.4179241,-0.8586375,1.5592866,0.631
"705","Spint1","hurdle",2.15184804960231e-66,-0.5446916,0.2678188,0.8125104,0.631
"616","Sec24d","hurdle",1.98615347854652e-154,-2.6959938,-0.9474611,1.7485327,0.631
"364","Hist1h2bc","hurdle",1.74887081744576e-56,0.9440321,1.462565,0.5185329,0.631
"379","Igsf23","hurdle",9.04008395604172e-85,-1.3257498,-0.2103991,1.1153507,0.63
"151","Cdkn2b","hurdle",2.14563647881608e-114,-1.9040309,-0.5496435,1.3543874,0.63
"13","4931406C07Rik","hurdle",1.43417387391771e-84,-1.08975465,-0.05296757,1.03678708,0.629
"208","Cyp2c68","hurdle",8.10941143733336e-133,-2.5280854,-0.9117432,1.6163422,0.628
"776","Uap1l1","hurdle",1.86516105926279e-97,-1.9568864,-0.6678071,1.2890793,0.627
"724","Synpo","hurdle",4.61718920761396e-201,-3.049173,-1.162879,1.886294,0.627
"567","Prkcd","hurdle",1.05356440396891e-72,-1.353114,-0.3580053,0.9951087,0.627
"206","Cyp2c65","hurdle",1.03098517084446e-107,-2.0832706,-0.6697946,1.413476,0.627
"180","Cml5","hurdle",8.17590406124653e-185,-2.9309441,-0.9644371,1.966507,0.627
"72","Aldh1l1","hurdle",1.02362356743641e-111,-2.2283417,-0.8117999,1.4165418,0.627
"574","Pxdc1","hurdle",1.75095461345902e-167,-2.872012,-1.042114,1.829898,0.625
"577","Rab3gap2","hurdle",1.58348735390012e-107,-2.1376562,-0.6898212,1.447835,0.624
"294","Fcgrt","hurdle",3.22958724121123e-80,-1.7510283,-0.6018128,1.1492155,0.624
"271","Esrra","hurdle",1.0295803343502e-56,-0.4348499,0.3288126,0.7636625,0.624
"149","Cdk18","hurdle",1.2650664255447e-98,-2.1517204,-0.8383777,1.3133427,0.623
"139","Cat","hurdle",1.46629840322257e-77,-0.6652037,0.2224639,0.8876676,0.622
"35","Acaa1a","hurdle",2.20227651676131e-65,0.1398148,0.839778,0.6999632,0.622
"548","Plekhg6","hurdle",3.83926770534136e-173,-2.970284,-1.211267,1.759017,0.621
"355","H2-T3","hurdle",2.08205651412028e-66,-1.2132193,-0.2529682,0.9602511,0.621
"315","Gimd1","hurdle",3.6548285824504e-94,-2.052863,-0.701972,1.350891,0.621
"306","Galnt6","hurdle",2.52456843871784e-67,-1.4593044,-0.4765033,0.9828011,0.621
