"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Tuft","log2fold_change","Auc"
"968","Tlcd2","hurdle",7.11545257539828e-16,-2.699793,-1.692447,1.007346,0.574
"586","Mfn2","hurdle",1.50365430830572e-09,-1.7405,-0.934905,0.805595,0.574
"535","Lamtor3","hurdle",1.17550466846878e-06,-0.8769031,-0.2823997,0.5945034,0.574
"246","Cryba2","hurdle",9.83358321207798e-30,-3.111012,-1.753501,1.357511,0.574
"223","Cmip","hurdle",2.59856563107381e-06,-0.9667315,-0.407658,0.5590735,0.574
"172","Car2","hurdle",9.46413098220949e-27,-2.800312,-1.178272,1.62204,0.574
"37","Acad12","hurdle",1.66151116839806e-18,-2.792953,-1.559298,1.233655,0.574
"3","1110059E24Rik","hurdle",1.02847050175928e-05,-0.9161134,-0.3913929,0.5247205,0.574
"917","Sqle","hurdle",5.06617144764504e-12,-2.182393,-1.123515,1.058878,0.573
"386","Glyr1","hurdle",2.01582401541461e-06,-0.9241296,-0.3753092,0.5488204,0.573
"287","Dnm2","hurdle",3.45818496315336e-06,-1.4236929,-0.8216054,0.6020875,0.573
"1071","Vta1","hurdle",3.81039148139749e-07,-1.303222,-0.637704,0.665518,0.572
"962","Tbx3","hurdle",2.55643830283245e-08,-1.811834,-1.220749,0.591085,0.572
"889","Smim12","hurdle",2.2639768513824e-06,-0.9665015,-0.3913929,0.5751086,0.572
"566","Lzts2","hurdle",1.46352207476262e-05,-1.1325227,-0.5629362,0.5695865,0.572
"489","Il25","hurdle",2.35620493735896e-53,-3.313714,-1.732861,1.580853,0.572
"370","Gch1","hurdle",8.29978183878344e-09,-2.062035,-1.235191,0.826844,0.572
"214","Cited4","hurdle",1.00855762139977e-07,-1.2847552,-0.5448344,0.7399208,0.572
"164","Camk2n1","hurdle",1.21220452453693e-09,-0.71034362,-0.09953567,0.61080795,0.572
"148","Btbd1","hurdle",1.65002793003504e-05,-0.9085832,-0.3753092,0.533274,0.572
"14","2310001H17Rik","hurdle",1.56330413069375e-06,-1.3125447,-0.6473284,0.6652163,0.572
"1057","Umad1","hurdle",1.86505499909268e-05,-2.650934,-1.965881,0.685053,0.571
"874","Slc37a1","hurdle",3.48587137568106e-07,-1.845269,-1.13701,0.708259,0.571
"763","Rab18","hurdle",5.20437994017055e-06,-0.7101511,-0.1810656,0.5290855,0.571
"271","Ddah1","hurdle",7.21707007765865e-23,-3.076852,-1.77444,1.302412,0.571
"194","Cdk2","hurdle",4.33541210339872e-08,-1.5065265,-0.7786649,0.7278616,0.571
"190","Cdc42se1","hurdle",9.62515829941429e-07,-0.9412005,-0.3753092,0.5658913,0.571
"805","Rogdi","hurdle",6.39578826595537e-12,-2.60941,-1.633872,0.975538,0.57
"739","Prorsd1","hurdle",7.9419461580908e-06,-1.4803522,-0.8999712,0.580381,0.57
"378","Gga2","hurdle",6.18866539880851e-14,-2.245165,-1.249778,0.995387,0.57
"298","Dyrk4","hurdle",2.43185108975556e-49,-3.298583,-1.123515,2.175068,0.57
"202","Cflar","hurdle",8.03190169302142e-08,-1.934213,-1.178272,0.755941,0.57
"155","C77080","hurdle",4.98490961509019e-05,-1.0649864,-0.5629362,0.5020502,0.57
"82","Arhgap8","hurdle",3.2202453040883e-10,-2.164874,-1.279403,0.885471,0.57
"12","2210013O21Rik","hurdle",2.08562415881344e-05,-1.2219218,-0.6473284,0.5745934,0.57
"1023","Trmt13","hurdle",1.10010177197991e-09,-2.211529,-1.340544,0.870985,0.569
"1019","Trim31","hurdle",1.28659377421776e-07,-1.487594,-0.747278,0.740316,0.569
"804","Rnf181","hurdle",2.37760036411319e-05,-1.014666,-0.5092982,0.5053678,0.569
"710","Plekhs1","hurdle",1.25455899210762e-40,-3.284755,-1.817253,1.467502,0.569
"401","Gna13","hurdle",6.49564523502741e-06,-0.7664882,-0.2308431,0.5356451,0.569
"45","Adprh","hurdle",5.81723553748357e-07,-1.6906472,-0.9950761,0.6955711,0.569
"1014","Trappc2","hurdle",1.70129453603356e-22,-2.91456,-1.672657,1.241903,0.568
"888","Smg7","hurdle",4.32503294447048e-09,-2.054683,-1.235191,0.819492,0.568
"811","Rsph9","hurdle",4.37548616290817e-34,-3.254119,-1.977974,1.276145,0.568
"701","Plcb2","hurdle",2.41866600329284e-45,-3.304384,-1.906891,1.397493,0.568
"408","Golgb1","hurdle",7.59108198969824e-06,-0.8215752,-0.3050722,0.516503,0.568
"265","Dcaf11","hurdle",9.92078659847554e-07,-0.59494046,-0.06687934,0.52806112,0.568
"227","Cnksr1","hurdle",6.33711978567185e-11,-2.544811,-1.596103,0.948708,0.568
"130","BC029214","hurdle",3.01995488125458e-06,-1.68307,-1.045088,0.637982,0.568
"790","Rgs19","hurdle",8.28881528153635e-14,-2.790508,-1.732861,1.057647,0.567
"706","Plekha6","hurdle",8.85338004040827e-06,-1.047855,-0.4660747,0.5817803,0.567
"635","Nfatc1","hurdle",9.43110823500021e-21,-3.008971,-1.817253,1.191718,0.567
"340","Fam83e","hurdle",7.02493015592112e-06,-1.4679292,-0.8435647,0.6243645,0.567
"286","Dnase1l1","hurdle",7.04049452241187e-10,-2.502853,-1.633872,0.868981,0.567
"95","Atat1","hurdle",7.91352819897255e-08,-2.05029,-1.249778,0.800512,0.567
"79","Arhgap1","hurdle",6.5115922682629e-06,-1.4889142,-0.8771433,0.6117709,0.567
"26","Abca3","hurdle",9.83191862234365e-11,-2.027562,-1.150634,0.876928,0.567
"925","Ssbp4","hurdle",7.64414906126231e-05,-0.7246623,-0.223626,0.5010363,0.566
"612","Mxd1","hurdle",4.25884036160225e-09,-1.947768,-1.279403,0.668365,0.566
"518","Kdm7a","hurdle",8.07490073912162e-09,-2.196348,-1.356242,0.840106,0.566
"476","Ifit1","hurdle",4.37719172569252e-15,-2.551694,-0.6186456,1.9330484,0.566
"424","Gyg","hurdle",7.1774453273629e-09,-1.847809,-1.045088,0.802721,0.566
"372","Gcnt1","hurdle",1.19480176760799e-46,-3.309042,-1.883954,1.425088,0.566
"127","BC016579","hurdle",3.86282194276186e-13,-2.773512,-1.753501,1.020011,0.566
"65","Ampd3","hurdle",4.33578880685013e-15,-2.7711,-1.672657,1.098443,0.566
"41","Actr2","hurdle",1.0774919600197e-07,-1.216716,-0.5998358,0.6168802,0.566
"15","3830406C13Rik","hurdle",2.6990571898642e-07,-1.6665389,-0.9467401,0.7197988,0.566
"2","1110032A03Rik","hurdle",6.73648670511714e-06,-1.714393,-1.096896,0.617497,0.566
"1094","Zfp710","hurdle",3.66566276904408e-11,-2.423062,-1.437405,0.985657,0.565
"1036","Tstd3","hurdle",3.27313547223387e-12,-2.726024,-1.712513,1.013511,0.565
"1028","Tslp","hurdle",9.69090318339765e-37,-3.221922,-1.505792,1.71613,0.565
"798","Ripk3","hurdle",1.16059401834529e-12,-1.7213603,-0.8771433,0.844217,0.565
"777","Rassf6","hurdle",1.23937538001099e-13,-2.603676,-1.541241,1.062435,0.565
"771","Rabgap1","hurdle",2.31898822136027e-07,-2.153835,-1.454201,0.699634,0.565
"524","Klf7","hurdle",3.09765681381156e-07,-2.017045,-1.372114,0.644931,0.565
"499","Itfg1","hurdle",3.20507985988871e-06,-1.873019,-1.220749,0.65227,0.565
"485","Il11ra1","hurdle",2.09515881227508e-11,-2.388762,-1.420803,0.967959,0.565
"356","Fnbp1","hurdle",3.11672594478344e-19,-2.8908,-1.692447,1.198353,0.565
"269","Dcxr","hurdle",1.61619185636886e-05,-1.255523,-0.666772,0.588751,0.565
"114","Atxn10","hurdle",7.90360102502582e-06,-1.5321631,-0.8999712,0.6321919,0.565
"68","Ankrd12","hurdle",2.75609188927567e-08,-2.173342,-1.356242,0.8171,0.565
"1093","Zfp652","hurdle",2.21971094800995e-05,-1.5582635,-0.9707057,0.5875578,0.564
"938","Stra6l","hurdle",1.56065512028179e-07,-2.14184,-1.356242,0.785598,0.564
"844","Sez6l2","hurdle",8.75624395542884e-30,-3.246281,-2.078551,1.16773,0.564
"784","Ren1","hurdle",2.72848155410855e-47,-3.314885,-1.839146,1.475739,0.564
"765","Rab27a","hurdle",2.64632683893175e-20,-3.064002,-1.712513,1.351489,0.564
"679","Pde9a","hurdle",1.06967639075851e-06,-2.014666,-1.30965,0.705016,0.564
"634","Neurl1a","hurdle",9.44681264443333e-44,-3.310208,-2.10483,1.205378,0.564
"521","Kirrel3","hurdle",4.45724659004107e-44,-3.310208,-1.977974,1.332234,0.564
"505","Iyd","hurdle",4.69153354207083e-14,-2.786443,-1.653134,1.133309,0.564
"411","Gpr108","hurdle",5.97852511755921e-06,-1.3281193,-0.7369656,0.5911537,0.564
"241","Cr1l","hurdle",3.16492208777937e-09,-1.0883162,-0.4491414,0.6391748,0.564
"238","Cpne5","hurdle",9.46474709877332e-43,-3.302061,-1.953888,1.348173,0.564
"97","Atg3","hurdle",0.000140017579281113,-1.1384688,-0.6281433,0.5103255,0.564
"1017","Trim12a","hurdle",1.38839061285378e-08,-2.392465,-1.541241,0.851224,0.563
"941","Stx8","hurdle",7.96129625501769e-05,-1.266522,-0.747278,0.519244,0.563
"595","Mkrn2os","hurdle",7.20198032358804e-05,-0.9243529,-0.3913929,0.53296,0.563
"396","Gm7676","hurdle",2.5465747329946e-31,-3.220824,-1.861376,1.359448,0.563
"86","Arl3","hurdle",1.51361447982728e-09,-2.169631,-1.30965,0.859981,0.563
"33","Abhd5","hurdle",1.55891218036702e-22,-2.585904,-1.40439,1.181514,0.563
"1076","Wsb2","hurdle",8.26520431443573e-05,-1.3866068,-0.8325433,0.5540635,0.562
"918","Sqstm1","hurdle",8.13785405092848e-06,-1.854602,-1.178272,0.67633,0.562
"743","Prss30","hurdle",9.36627520908094e-17,-2.848656,-1.488389,1.360267,0.562
"714","Plpp6","hurdle",6.55182628241205e-07,-1.687233,-1.019865,0.667368,0.562
"703","Pld2","hurdle",2.64124490625258e-11,-2.728362,-1.77444,0.953922,0.562
"642","Nradd","hurdle",3.08989030349864e-08,-2.285902,-1.420803,0.865099,0.562
"444","Hist1h1c","hurdle",9.02927195375281e-05,-1.2118014,-0.6281433,0.5836581,0.562
"988","Tmem236","hurdle",3.1735631376422e-09,-2.155407,-1.325014,0.830393,0.561
"981","Tmem150b","hurdle",2.34745779297989e-08,-2.453677,-1.633872,0.819805,0.561
"950","Syne2","hurdle",6.28103046561352e-05,-1.618414,-1.057866,0.560548,0.561
"854","Sigirr","hurdle",1.65883979130778e-06,-2.143399,-1.454201,0.689198,0.561
"745","Psd3","hurdle",1.67954956150178e-08,-2.416136,-1.577583,0.838553,0.561
"646","Nsf","hurdle",3.49605653274844e-06,-2.040091,-1.356242,0.683849,0.561
"557","Lrrk1","hurdle",2.16363284134183e-05,-1.81266,-1.206451,0.606209,0.561
"380","Gimap3","hurdle",8.00030058460444e-35,-3.280175,-1.795688,1.484487,0.561
"183","Ccdc92","hurdle",1.62673632089842e-28,-3.241821,-1.977974,1.263847,0.561
"992","Tmem42","hurdle",2.48821549042696e-05,-1.759499,-1.150634,0.608865,0.56
"519","Kif21b","hurdle",2.76289544540045e-10,-2.696738,-1.795688,0.90105,0.56
"374","Gdi1","hurdle",1.35157213725589e-06,-1.920784,-1.235191,0.685593,0.56
"280","Dio1","hurdle",3.92130637446265e-09,-2.404252,-1.505792,0.89846,0.56
"78","Arfgap3","hurdle",7.83766268780445e-05,-1.2942475,-0.7576646,0.5365829,0.56
"969","Tle3","hurdle",4.06038562505564e-05,-1.727582,-1.206451,0.521131,0.559
"843","Sertad1","hurdle",1.370400639357e-05,-1.891673,-1.235191,0.656482,0.559
"588","Mgat3","hurdle",1.20664968581171e-06,-2.14236,-1.505792,0.636568,0.559
"339","Fam83d","hurdle",4.61231343393244e-08,-2.327233,-1.420803,0.90643,0.559
"305","Eid1","hurdle",1.10468970143188e-08,-2.534547,-1.732861,0.801686,0.559
"94","Aspa","hurdle",3.83953960830023e-17,-2.684582,-1.40439,1.280192,0.559
"4","1700011H14Rik","hurdle",3.50629563474139e-25,-3.134588,-1.437405,1.697183,0.559
"1055","Uckl1","hurdle",3.61176728819388e-05,-1.731094,-1.13701,0.594084,0.558
"839","Sept8","hurdle",2.99193294314592e-12,-2.695213,-1.712513,0.9827,0.558
"574","Map4k4","hurdle",7.59988273341768e-05,-1.72369,-1.13701,0.58668,0.558
"450","Hmgcr","hurdle",3.93884783517315e-06,-2.124804,-1.437405,0.687399,0.558
"446","Hivep2","hurdle",2.92949328231359e-14,-2.763089,-1.712513,1.050576,0.558
"85","Arl14","hurdle",6.37286871441429e-06,-1.3373075,-0.6964378,0.6408697,0.558
"80","Arhgap31","hurdle",1.7822053271309e-12,-2.7711,-1.77444,0.99666,0.558
"1075","Wdr83","hurdle",0.000280005743849388,-1.577451,-1.070759,0.506692,0.557
"885","Slfn2","hurdle",2.42173604602041e-12,-2.440203,-1.388162,1.052041,0.557
"872","Slc35a2","hurdle",1.47974859858728e-05,-1.906155,-1.279403,0.626752,0.557
"812","Rtkn","hurdle",2.60711513845675e-06,-1.4728202,-0.8546709,0.6181493,0.557
"729","Ppp1r9b","hurdle",2.50254379604351e-09,-2.572543,-1.672657,0.899886,0.557
"704","Pld3","hurdle",2.89549748267293e-08,-2.322517,-1.523408,0.799109,0.557
"613","Myadm","hurdle",9.09742158065216e-06,-1.961452,-1.30965,0.651802,0.557
"507","Jade1","hurdle",0.00010524731914013,-1.641725,-1.083768,0.557957,0.557
"31","Abhd18","hurdle",1.11873076760064e-09,-2.70669,-1.817253,0.889437,0.557
"1022","Trip12","hurdle",0.000337868064160047,-1.51155,-1.007417,0.504133,0.556
"956","Tank","hurdle",1.13776269551633e-05,-2.062035,-1.40439,0.657645,0.556
"949","Svil","hurdle",2.12271257643138e-06,-2.242935,-1.523408,0.719527,0.556
"873","Slc35a3","hurdle",3.19878132863574e-05,-1.2942475,-0.7576646,0.5365829,0.556
"862","Slc16a6","hurdle",2.0746554646969e-06,-2.270491,-1.577583,0.692908,0.556
"834","Sec23b","hurdle",0.000258894552149538,-1.624932,-1.096896,0.528036,0.556
"803","Rnf14","hurdle",2.63483826402974e-05,-2.055661,-1.454201,0.60146,0.556
"786","Rgl2","hurdle",1.97985041838847e-05,-1.995301,-1.356242,0.639059,0.556
"722","Polb","hurdle",0.000130600829162213,-1.674405,-1.110144,0.564261,0.556
"565","Lyrm1","hurdle",3.76312293815653e-08,-2.40737,-1.596103,0.811267,0.556
"447","Hivep3","hurdle",1.15454700765039e-19,-3.152265,-2.027386,1.124879,0.556
"433","Hacd3","hurdle",0.000270209397803653,-1.3949381,-0.8885121,0.506426,0.556
"225","Cmtm8","hurdle",3.70794568139106e-16,-2.966042,-1.77444,1.191602,0.556
"146","Bscl2","hurdle",7.61335783937813e-05,-1.338795,-0.7892808,0.5495142,0.556
"982","Tmem151a","hurdle",2.36957815420038e-35,-3.302061,-1.953888,1.348173,0.555
"792","Rgs22","hurdle",5.88597796301615e-39,-3.311376,-2.10483,1.206546,0.555
"655","Oasl1","hurdle",8.46191807306043e-09,-2.279032,-1.220749,1.058283,0.555
"395","Gm609","hurdle",3.87597769239139e-17,-3.111012,-2.027386,1.083626,0.555
"393","Gm17660","hurdle",4.64294717329871e-42,-3.317229,-2.052741,1.264488,0.555
"313","Enpp5","hurdle",4.36522070890298e-15,-2.673279,-1.653134,1.020145,0.555
"272","Ddah2","hurdle",6.48633284890061e-15,-3.043482,-1.977974,1.065508,0.555
"255","Cyb561d2","hurdle",0.00030540870093367,-1.361293,-0.8325433,0.5287497,0.555
"247","Cryzl1","hurdle",3.361789718615e-05,-1.1133019,-0.5998358,0.5134661,0.555
"19","4930427A07Rik","hurdle",3.30742125318223e-05,-1.991552,-1.388162,0.60339,0.555
"1002","Tmem86b","hurdle",1.04973491881541e-05,-2.039123,-1.30965,0.729473,0.554
"802","Rnf103","hurdle",2.49298114350533e-07,-2.333151,-1.559298,0.773853,0.554
"754","Ptprj","hurdle",1.51977178832736e-08,-2.660574,-1.817253,0.843321,0.554
"540","Ldlr","hurdle",6.43467080574115e-05,-1.923906,-1.325014,0.598892,0.554
"500","Itgb1bp1","hurdle",3.53151199812156e-06,-2.015142,-1.325014,0.690128,0.554
"469","Hspa4l","hurdle",3.30704597789068e-05,-2.003299,-1.356242,0.647057,0.554
"407","Gnptg","hurdle",0.000122020247201814,-1.917224,-1.356242,0.560982,0.554
"390","Gm15658","hurdle",3.14216034503739e-16,-2.927931,-1.795688,1.132243,0.554
"346","Fbxo8","hurdle",0.000130210041390204,-1.859718,-1.294447,0.565271,0.554
"174","Card10","hurdle",2.25269998288334e-06,-2.304384,-1.577583,0.726801,0.554
"132","BC048546","hurdle",1.73524114661685e-28,-3.266522,-1.977974,1.288548,0.554
"61","Alkbh5","hurdle",0.000315889650099613,-1.710921,-1.206451,0.50447,0.554
"1068","Vmn2r26","hurdle",1.70217075293261e-39,-3.317229,-2.215013,1.102216,0.553
"1039","Ttll7","hurdle",5.14181187360019e-19,-3.182928,-2.131597,1.051331,0.553
"975","Tmc6","hurdle",0.000101521318413933,-1.98455,-1.420803,0.563747,0.553
"936","Stk40","hurdle",5.32178566315142e-05,-1.982688,-1.372114,0.610574,0.553
"821","Samd10","hurdle",5.44486076357161e-05,-2.068931,-1.471194,0.597737,0.553
"797","Riok3","hurdle",0.00011430818114398,-1.629658,-1.083768,0.54589,0.553
"762","Rab13","hurdle",1.69234866428146e-05,-2.197967,-1.577583,0.620384,0.553
"721","Pofut2","hurdle",0.000275073969640462,-1.801542,-1.264515,0.537027,0.553
"587","Mfsd6","hurdle",9.38682109010446e-06,-2.153311,-1.471194,0.682117,0.553
"429","H2-Q7","hurdle",2.50356571815297e-06,-1.0316461,-0.3833286,0.6483175,0.553
"275","Ddx58","hurdle",3.66645204364959e-06,-2.330189,-1.633872,0.696317,0.553
"239","Cptp","hurdle",0.000146864362063232,-1.903952,-1.340544,0.563408,0.553
"53","Ak7","hurdle",4.51159703463486e-17,-2.954137,-1.839146,1.114991,0.553
"52","Aip","hurdle",0.000165714366023137,-1.886878,-1.325014,0.561864,0.553
"1095","Zfp87","hurdle",5.49196245413016e-07,-2.464028,-1.712513,0.751515,0.552
"671","Parp12","hurdle",0.00024338667497426,-1.850777,-1.279403,0.571374,0.552
"622","Ncoa1","hurdle",5.03380229729918e-05,-2.086816,-1.471194,0.615622,0.552
"609","Mtmr11","hurdle",6.00266001521457e-14,-2.968803,-1.906891,1.061912,0.552
"334","Fam3b","hurdle",1.03433094063514e-07,-2.570444,-1.712513,0.857931,0.552
"284","Dnajb9","hurdle",7.78917382656337e-10,-2.222471,-1.30965,0.912821,0.552
"273","Ddhd2","hurdle",1.76600162753043e-05,-2.066957,-1.541241,0.525716,0.552
"264","Dapp1","hurdle",5.82322378299453e-07,-2.527745,-1.77444,0.753305,0.552
"23","9130230L23Rik","hurdle",2.11420223449954e-05,-2.229076,-1.614864,0.614212,0.552
"924","Srpx2","hurdle",9.18795436706989e-36,-3.310208,-2.131597,1.178611,0.551
"852","Shkbp1","hurdle",8.5658680072121e-06,-2.286476,-1.614864,0.671612,0.551
"809","Rprml","hurdle",6.97321250318188e-18,-3.11203,-1.77444,1.33759,0.551
"755","Pxmp4","hurdle",9.10391586870793e-05,-1.651673,-1.096896,0.554777,0.551
"683","Pfkl","hurdle",1.29882472634325e-06,-1.4440398,-0.8435647,0.6004751,0.551
"663","Otud7b","hurdle",2.02787444831064e-05,-2.260307,-1.614864,0.645443,0.551
"649","Nudt7","hurdle",2.2792030647824e-05,-2.290501,-1.653134,0.637367,0.551
"410","Gpcpd1","hurdle",1.20017554594378e-08,-2.764688,-1.930198,0.83449,0.551
"338","Fam63b","hurdle",2.66645847344727e-05,-2.254119,-1.614864,0.639255,0.551
"316","Erlec1","hurdle",0.000360731235784289,-1.4398835,-0.8885121,0.5513714,0.551
"295","Dvl1","hurdle",0.00022050133908276,-1.969264,-1.437405,0.531859,0.551
"126","Baz2a","hurdle",4.8658011628589e-06,-1.5848448,-0.9828394,0.6020054,0.551
"923","Srpk2","hurdle",3.44953795704526e-05,-2.252436,-1.633872,0.618564,0.55
"876","Slc41a3","hurdle",2.90019171490864e-24,-3.268788,-2.186668,1.08212,0.55
"770","Rab5b","hurdle",3.18308617660195e-10,-2.16593,-1.420803,0.745127,0.55
"740","Prox1","hurdle",2.55505298179004e-15,-3.106951,-2.052741,1.05421,0.55
"654","Oas3","hurdle",4.15823893568035e-07,-2.272764,-1.420803,0.851961,0.55
"551","Lmo2","hurdle",3.76467833745973e-27,-3.272195,-1.977974,1.294221,0.55
"475","Ifih1","hurdle",2.21673932046494e-05,-2.279032,-1.633872,0.64516,0.55
"398","Gm9917","hurdle",1.07525470560429e-16,-3.107966,-2.078551,1.029415,0.55
"224","Cmtm3","hurdle",9.23081313954847e-16,-3.148086,-2.15887,0.989216,0.55
"200","Cfap36","hurdle",6.2287950068596e-05,-2.187745,-1.577583,0.610162,0.55
"157","Cabp1","hurdle",1.00322375974693e-25,-3.277891,-2.30355,0.974341,0.55
"99","Atp13a2","hurdle",4.31127426740233e-07,-2.374047,-1.633872,0.740175,0.55
"55","Akr1b10","hurdle",4.33054694975283e-06,-2.393701,-1.672657,0.721044,0.55
"947","Susd3","hurdle",1.49776044600991e-30,-3.302061,-2.27343,1.028631,0.549
"746","Pstpip1","hurdle",5.13979824387129e-31,-3.304384,-2.10483,1.199554,0.549
"641","Nptn","hurdle",2.74189024613432e-06,-1.40581,-0.8325433,0.5732667,0.549
"478","Ifnar2","hurdle",1.00625456037854e-10,-2.231837,-1.437405,0.794432,0.549
"418","Grk6","hurdle",0.000251493418941075,-1.584845,-1.045088,0.539757,0.549
"902","Socs1","hurdle",6.87583051370755e-10,-2.857158,-1.817253,1.039905,0.548
"838","Sema7a","hurdle",6.93478785404395e-05,-2.002355,-1.372114,0.630241,0.548
"660","Orai2","hurdle",7.03857002642101e-06,-2.462082,-1.839146,0.622936,0.548
"406","Gngt2","hurdle",4.51262499683408e-09,-2.787255,-1.906891,0.880364,0.548
"392","Gm17322","hurdle",3.43879550643757e-08,-2.767089,-1.930198,0.836891,0.548
"43","Adgrg2","hurdle",3.15574795867276e-29,-3.299741,-2.27343,1.026311,0.548
"1059","Unc5b","hurdle",4.31683584116606e-10,-2.970647,-2.10483,0.865817,0.547
"1024","Trp53inp2","hurdle",5.64124216052749e-07,-2.642092,-1.953888,0.688204,0.547
"1007","Tnik","hurdle",2.70271025894527e-05,-2.374657,-1.77444,0.600217,0.547
"870","Slc29a3","hurdle",1.21550925615097e-07,-2.77754,-2.002468,0.775072,0.547
"868","Slc25a33","hurdle",0.000174793786083961,-2.120704,-1.523408,0.597296,0.547
"827","Scd2","hurdle",1.09013562292223e-05,-2.333744,-1.633872,0.699872,0.547
"720","Pof1b","hurdle",5.3553941162509e-09,-2.67779,-1.861376,0.816414,0.547
"419","Gskip","hurdle",0.00104525784876722,-1.844001,-1.340544,0.503457,0.547
"354","Fig4","hurdle",4.76272843840447e-07,-2.610128,-1.861376,0.748752,0.547
"91","Armcx3","hurdle",5.15601812416003e-16,-3.146001,-2.186668,0.959333,0.547
"83","Arhgef2","hurdle",1.94344114026785e-06,-2.560691,-1.817253,0.743438,0.547
"72","Apba3","hurdle",0.000114786734663314,-2.229628,-1.633872,0.595756,0.547
"1009","Tpk1","hurdle",2.56894020487933e-07,-2.342073,-1.614864,0.727209,0.546
"767","Rab3d","hurdle",0.000196375925612789,-1.5551479,-0.9950761,0.5600718,0.546
"736","Prmt2","hurdle",1.38569796941115e-09,-2.906596,-2.052741,0.853855,0.546
"716","Pmel","hurdle",2.22768092157898e-17,-3.17016,-2.10483,1.06533,0.546
"657","Ogg1","hurdle",1.12582575485852e-05,-1.753138,-1.164387,0.588751,0.546
"516","Kdelr3","hurdle",1.48955550352391e-13,-3.106951,-2.215013,0.891938,0.546
"490","Il4ra","hurdle",1.51438300520608e-05,-2.45755,-1.77444,0.68311,0.546
"197","Cds2","hurdle",0.000897710360273915,-1.802362,-1.294447,0.507915,0.546
"857","Sipa1l3","hurdle",0.000335756003705226,-1.930171,-1.372114,0.558057,0.545
"785","Rfesd","hurdle",9.33062925768931e-05,-2.374047,-1.77444,0.599607,0.545
"776","Rap2a","hurdle",5.03762769391024e-06,-2.474454,-1.77444,0.700014,0.545
"759","Rab10os","hurdle",7.70815692259867e-10,-1.840626,-1.150634,0.689992,0.545
"708","Plekhg5","hurdle",7.81462580824632e-10,-2.820951,-1.930198,0.890753,0.545
"585","Mfap1b","hurdle",8.2116251279256e-05,-2.042513,-1.454201,0.588312,0.545
"483","Igtp","hurdle",0.000974418552852732,-1.899994,-1.340544,0.55945,0.545
"457","Homer3","hurdle",2.66953218311117e-10,-2.986414,-2.10483,0.881584,0.545
"312","Enpp4","hurdle",2.71859500627676e-10,-2.813487,-1.906891,0.906596,0.545
"310","Enc1","hurdle",1.47657920271696e-08,-2.78158,-1.953888,0.827692,0.545
"232","Coq3","hurdle",0.000304671404064365,-1.848656,-1.30965,0.539006,0.545
"1018","Trim15","hurdle",4.47901301001786e-12,-3.080829,-2.078551,1.002278,0.544
"1008","Tor1aip1","hurdle",0.000360029455860334,-2.086316,-1.523408,0.562908,0.544
"960","Tbc1d10b","hurdle",0.000869082671842264,-1.886443,-1.356242,0.530201,0.544
"945","Sufu","hurdle",8.91752942434736e-07,-2.768692,-2.052741,0.715951,0.544
"685","Pgm2l1","hurdle",7.38457725283226e-07,-2.408619,-1.653134,0.755485,0.544
"597","Mllt11","hurdle",8.06698628072719e-06,-2.623119,-1.977974,0.645145,0.544
"559","Ltb","hurdle",3.48988677634063e-16,-3.157505,-2.052741,1.104764,0.544
"381","Gimap5","hurdle",2.31282639369379e-06,-2.295114,-1.596103,0.699011,0.544
"331","Fam216a","hurdle",6.66851808799948e-05,-2.451101,-1.839146,0.611955,0.544
"176","Cbr3","hurdle",4.56132202773094e-16,-3.168043,-2.131597,1.036446,0.544
"60","Aldoc","hurdle",4.67409103257949e-10,-2.841047,-1.930198,0.910849,0.544
"977","Tmem106a","hurdle",0.000300116424847353,-2.193116,-1.596103,0.597013,0.543
"899","Snrnp35","hurdle",1.47094889284582e-05,-2.398036,-1.732861,0.665175,0.543
"761","Rab11fip4","hurdle",9.08298590322776e-17,-3.200128,-2.215013,0.985115,0.543
"639","Nol4l","hurdle",0.000451599046673554,-2.260307,-1.712513,0.547794,0.543
"630","Necap1","hurdle",4.31164812424992e-05,-2.266522,-1.653134,0.613388,0.543
"619","Myzap","hurdle",3.32457645074405e-08,-2.882099,-2.027386,0.854713,0.543
"607","Mta3","hurdle",0.000871067256439438,-1.797445,-1.294447,0.502998,0.543
"601","Mospd3","hurdle",5.46113430298306e-08,-1.802773,-1.178272,0.624501,0.543
"550","Lmf1","hurdle",9.92442711982542e-06,-2.05029,-1.437405,0.612885,0.543
"414","Gprc5a","hurdle",9.19686524010123e-16,-3.07884,-2.334312,0.744528,0.543
"1035","Tspo2","hurdle",1.91363075276758e-19,-3.191502,-2.078551,1.112951,0.542
"907","Sp110","hurdle",2.31101585316783e-07,-2.684582,-1.930198,0.754384,0.542
"849","Sh3kbp1","hurdle",2.88907551383064e-17,-3.239597,-2.30355,0.936047,0.542
"637","Nipal3","hurdle",8.29993692865841e-05,-2.2882,-1.653134,0.635066,0.542
"515","Kctd15","hurdle",2.61563226862066e-08,-2.954137,-2.243926,0.710211,0.542
"480","Igfbpl1","hurdle",9.80004778769918e-23,-3.28935,-2.430742,0.858608,0.542
"456","Homer1","hurdle",9.37155773181735e-08,-2.857158,-2.078551,0.778607,0.542
"443","Hip1r","hurdle",0.00123196178592344,-1.789695,-1.279403,0.510292,0.542
"285","Dnajc17","hurdle",0.00130575693079376,-1.896047,-1.372114,0.523933,0.542
