"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Tuft","log2fold_change","Auc"
"467","Hsbp1","hurdle",1.42585600015745e-34,0.838223,1.715349,0.877126,0.708
"689","Pik3cg","hurdle",7.9376330758595e-144,-3.2608708,-0.3358673,2.9250035,0.706
"353","Ffar3","hurdle",5.02208192000182e-151,-3.2631285,0.1762136,3.4393421,0.706
"835","Selk","hurdle",8.10057438956745e-42,0.7308571,1.7413978,1.0105407,0.705
"820","S100a13","hurdle",9.55392982529018e-93,-1.9048328,0.5824942,2.487327,0.704
"277","Desi1","hurdle",4.1065624829965e-59,-0.9612224,0.5824942,1.5437166,0.703
"869","Slc26a2","hurdle",6.26015657426021e-49,-1.767088893,-0.009898461,1.757190432,0.702
"504","Itpr2","hurdle",1.64751326594564e-91,-2.6997927,-0.2164448,2.4833479,0.699
"725","Pou2f3","hurdle",3.14088024270524e-125,-3.22302,-0.535868,2.687152,0.698
"830","Sdcbp2","hurdle",2.57927830178541e-50,-1.4728202,0.3936086,1.8664288,0.697
"779","Rbm38","hurdle",2.581257317107e-58,-1.2608708,0.3936086,1.6544794,0.696
"262","D8Ertd738e","hurdle",4.40306248695132e-25,1.591459,2.286224,0.694765,0.696
"184","Ccnj","hurdle",7.00396962716811e-115,-2.9550497,0.2763312,3.2313809,0.696
"109","Atp6v1f","hurdle",2.0060586463843e-28,1.462595,2.263291,0.800696,0.695
"73","Apobec1","hurdle",4.61465656242974e-73,-2.4698836,-0.2164448,2.2534388,0.693
"125","Basp1","hurdle",8.84802448912341e-143,-3.279032435,-0.003703969,3.275328466,0.692
"379","Gimap1","hurdle",2.62341613587715e-42,-1.001884,0.5107456,1.5126296,0.691
"210","Chn2","hurdle",7.42511414939019e-71,-2.018952,-0.092945,1.926007,0.691
"841","Serpinb1a","hurdle",2.44006285741503e-42,0.8192081,2.1046234,1.2854153,0.69
"662","Ostf1","hurdle",2.11192969550439e-41,-0.008024171,1.090795539,1.09881971,0.69
"913","Spint2","hurdle",2.60292387024494e-21,3.364481,3.911569,0.547088,0.689
"317","Ero1lb","hurdle",1.39444327908301e-91,-2.9486762,-0.3995025,2.5491737,0.687
"728","Ppp1r14c","hurdle",1.69053637034845e-121,-3.2362661,-0.3594028,2.8768633,0.686
"479","Ift172","hurdle",1.14336043501749e-87,-1.9310683,0.2506507,2.181719,0.684
"22","9030624J02Rik","hurdle",2.3192167843173e-71,-2.0738767,-0.1465332,1.9273435,0.684
"921","Sri","hurdle",2.11559947491435e-24,1.930946,2.674986,0.74404,0.683
"343","Fbp2","hurdle",1.46896478388256e-34,1.024502,2.031106,1.006604,0.683
"268","Dctn3","hurdle",5.27519557842123e-27,0.5460006,1.3689951,0.8229945,0.682
"221","Clmn","hurdle",1.07450643477572e-54,-2.0561505,-0.2164448,1.8397057,0.682
"946","Suox","hurdle",2.91852099894651e-73,-2.6538934,-0.2380965,2.4157969,0.681
"365","Gadd45a","hurdle",1.77535283439586e-40,-1.1845316,0.3214348,1.5059664,0.681
"357","Folr1","hurdle",3.57152750907494e-129,-3.2373755,0.4712653,3.7086408,0.681
"624","Ndrg1","hurdle",1.97718456348054e-44,-1.87560709,-0.06687934,1.80872775,0.679
"491","Ildr1","hurdle",2.54537248069513e-95,-2.9761918,-0.4324046,2.5437872,0.679
"991","Tmem38b","hurdle",6.06081491065234e-77,-2.251875,-0.1880723,2.0638027,0.677
"614","Myl6","hurdle",3.72398337876996e-22,1.98676,2.659456,0.672696,0.677
"237","Cpne3","hurdle",1.08852870845406e-53,-0.8512012,0.6110311,1.4622323,0.677
"760","Rab11a","hurdle",1.80655708847615e-35,-0.1640825,0.8758137,1.0398962,0.676
"930","St6galnac2","hurdle",1.43098548279683e-29,-0.2991621,0.719848,1.0190101,0.675
"699","Pla2g16","hurdle",3.64261947549156e-28,0.06409964,0.98263287,0.91853323,0.674
"351","Fdps","hurdle",5.07314618412362e-40,-0.5031869,0.9024447,1.4056316,0.674
"218","Cldn3","hurdle",1.91397449977722e-19,2.569603,3.140443,0.57084,0.674
"995","Tmem54","hurdle",3.25123283263137e-25,0.990792,1.811576,0.820784,0.673
"625","Ndufa1","hurdle",2.68714362520763e-23,1.412152,2.130199,0.718047,0.673
"211","Cib1","hurdle",2.00202144606883e-23,1.623816,2.308798,0.684982,0.673
"987","Tmem229a","hurdle",2.32281752397341e-119,-3.2733323,-0.6281433,2.645189,0.672
"807","Romo1","hurdle",1.27425529476004e-20,1.221299,1.859936,0.638637,0.672
"576","Mapk3","hurdle",7.451764365195e-27,0.3086879,1.169651,0.8609631,0.671
"534","Lamtor2","hurdle",3.59114702340279e-20,1.317544,1.945659,0.628115,0.67
"299","Edf1","hurdle",1.03275807012468e-17,2.150549,2.706497,0.555948,0.67
"1052","Ubl5","hurdle",1.08167976452085e-18,1.811417,2.366128,0.554711,0.669
"1021","Trim40","hurdle",1.07679498979865e-85,-2.69140708,-0.09953567,2.59187141,0.669
"640","Npdc1","hurdle",9.63231618432054e-38,-1.41080741,0.09772603,1.50853344,0.669
"979","Tmem121","hurdle",1.1997929312149e-125,-3.298583,-0.7165594,2.5820236,0.668
"332","Fam221a","hurdle",5.08328673759225e-69,-2.7678902,-0.4241085,2.3437817,0.668
"13","2210016L21Rik","hurdle",8.14079899652486e-28,-0.9489033,0.1978761,1.1467794,0.668
"615","Myo15b","hurdle",3.93502945466239e-24,-0.7743164,0.40762,1.1819364,0.667
"122","Bad","hurdle",6.63860877169512e-27,-0.2089423,0.7640833,0.9730256,0.667
"1043","Tubb4b","hurdle",5.33927466977677e-21,1.670292,2.628883,0.958591,0.666
"1013","Trak1","hurdle",8.74578900422173e-36,-1.5098738,-0.1397248,1.370149,0.666
"233","Cox17","hurdle",3.58267146480817e-26,1.202094,1.931182,0.729088,0.666
"315","Eps8l3","hurdle",3.32423101040961e-25,-0.0752398,0.8452541,0.9204939,0.665
"866","Slc25a20","hurdle",4.10548764291521e-59,-1.72641353,0.09195294,1.81836647,0.664
"359","Fuca1","hurdle",9.12981114344617e-22,0.6252667,1.3497717,0.724505,0.664
"1053","Ubl7","hurdle",9.56690771088973e-57,-1.4164503,0.1205901,1.5370404,0.663
"890","Smim22","hurdle",6.38296515010467e-18,0.7456006,1.4388842,0.6932836,0.663
"616","Myo1b","hurdle",7.56903684884399e-38,-1.764688,-0.223626,1.541062,0.662
"220","Clic1","hurdle",2.37710189365589e-19,1.654679,2.327343,0.672664,0.662
"1004","Tmem98","hurdle",3.02883492248304e-29,-1.21890561,-0.03494588,1.18395973,0.661
"989","Tmem245","hurdle",1.58772265907806e-28,-1.4211696,-0.1329484,1.2882212,0.661
"944","Suco","hurdle",2.6835079504866e-69,-2.4491716,-0.2380965,2.2110751,0.661
"793","Rhoc","hurdle",5.2219668947452e-30,-1.2036475,0.3410369,1.5446844,0.661
"766","Rab27b","hurdle",9.39150075957051e-60,-2.2496348,-0.2308431,2.0187917,0.661
"415","Gprc5c","hurdle",1.32758764598662e-106,-3.2631285,-0.7786649,2.4844636,0.661
"961","Tbcb","hurdle",1.50628461530485e-21,-0.05053362,0.76770912,0.81824274,0.66
"487","Il17rb","hurdle",3.71356891374233e-98,-3.214257,-0.407658,2.806599,0.66
"145","Brms1","hurdle",6.95231585273088e-30,-1.032368,0.12625,1.158618,0.66
"633","Nenf","hurdle",4.69901225981877e-23,-0.04566704,0.88585799,0.93152503,0.659
"579","Marcksl1","hurdle",3.18483156098588e-36,-0.1829277,1.2470186,1.4299463,0.658
"438","Hebp1","hurdle",2.8996419275519e-67,-2.095842,-0.2021889,1.8936531,0.658
"248","Csk","hurdle",2.19157454900261e-24,-0.7660879,0.2609778,1.0270657,0.658
"198","Cdx1","hurdle",1.35127901134773e-18,0.9266805,1.6421782,0.7154977,0.658
"697","Pkm","hurdle",4.52534264653435e-26,0.8344004,1.8342306,0.9998302,0.657
"377","Gfi1b","hurdle",2.03280874765571e-115,-3.2974256,-0.8435647,2.4538609,0.657
"939","Strip2","hurdle",1.55720830328708e-94,-3.2351576,-0.8216054,2.4135522,0.656
"926","Ssu72","hurdle",5.51188650859633e-19,0.7556021,1.4659187,0.7103166,0.656
"1067","Vil1","hurdle",1.60107331440709e-15,0.7526019,1.3005618,0.5479599,0.655
"983","Tmem158","hurdle",1.1949570405758e-59,-2.740107,-0.60921,2.130897,0.655
"556","Lrrc42","hurdle",3.66940799713606e-45,-1.7852261,-0.2164448,1.5687813,0.655
"978","Tmem116","hurdle",2.14597985759572e-61,-2.4408416,-0.4241085,2.0167331,0.654
"502","Itm2b","hurdle",6.96871377456841e-17,2.689007,3.3778,0.688793,0.654
"153","C2","hurdle",3.45897495647907e-90,-2.5851979,-0.1740926,2.4111053,0.654
"256","Cyb5a","hurdle",2.19795386255958e-17,1.927021,2.53945,0.612429,0.653
"496","Inpp5j","hurdle",3.67938611505504e-41,-2.2893497,-0.6186456,1.6707041,0.652
"297","Dynlrb1","hurdle",2.02219591590443e-18,1.160006,1.808059,0.648053,0.652
"98","Atox1","hurdle",2.83638683358e-15,1.678881,2.233448,0.554567,0.652
