"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.CycISC","log2fold_change","Auc"
"1075","Rbm8a2","hurdle",6.99184620975985e-50,-1.3830862,-0.7963568,0.5867294,0.569
"774","Mrps22","hurdle",1.28635048675425e-47,-1.259247,-0.686475,0.572772,0.569
"738","Mgme1","hurdle",8.43438629260947e-66,-1.9753,-1.214495,0.760805,0.569
"734","Mettl5","hurdle",3.5306141149007e-47,-1.2182978,-0.6419306,0.5763672,0.569
"506","Grwd1","hurdle",4.11961576260419e-50,-1.444167,-0.8492851,0.5948819,0.569
"434","Fam133b","hurdle",3.36190101623634e-53,-1.4722624,-0.8387051,0.6335573,0.569
"347","Dtd1","hurdle",7.72959995817979e-49,-1.3338291,-0.7377214,0.5961077,0.569
"298","Csrp1","hurdle",1.35426926937826e-58,-1.743384,-1.07615,0.667234,0.569
"237","Cers4","hurdle",3.21848271888614e-43,-1.0841473,-0.5681493,0.515998,0.569
"231","Cep55","hurdle",1.01091708605714e-114,-2.71503,-1.656722,1.058308,0.569
"133","Brd7","hurdle",9.17357568362943e-46,-1.05585,-0.5205444,0.5353056,0.569
"93","Atp1b3","hurdle",3.93677968974843e-49,-1.3993411,-0.8082166,0.5911245,0.569
"39","Adsl","hurdle",2.97257235484477e-43,-1.1053239,-0.6049131,0.5004108,0.569
"1476","Zfp503","hurdle",1.22207324753659e-81,-2.33141,-1.45556,0.87585,0.568
"1349","Tmx1","hurdle",1.18270265532631e-42,-1.1555191,-0.6497339,0.5057852,0.568
"1345","Tmem222","hurdle",2.48342668293075e-43,-1.1390474,-0.6132116,0.5258358,0.568
"1300","Tcerg1","hurdle",8.8403026277719e-56,-1.685428,-1.018986,0.666442,0.568
"1198","Slc29a1","hurdle",4.72940557924167e-58,-1.772729,-1.074239,0.69849,0.568
"1184","Shcbp1","hurdle",2.99130445583396e-107,-2.675892,-1.639668,1.036224,0.568
"1092","Rfwd3","hurdle",4.35818642003667e-56,-1.764283,-1.102194,0.662089,0.568
"1028","Psmg1","hurdle",1.26171495643031e-42,-0.9194947,-0.4170338,0.5024609,0.568
"928","Pgc","hurdle",4.61375056310991e-69,-1.948742,-1.126735,0.822007,0.568
"836","Nme4","hurdle",1.68755386865247e-45,-1.2280636,-0.6683477,0.5597159,0.568
"795","Mzt1","hurdle",4.1807556198229e-50,-1.5163449,-0.9076275,0.6087174,0.568
"548","Hirip3","hurdle",1.28115951363307e-64,-1.955936,-1.208196,0.74774,0.568
"499","Gpatch4","hurdle",7.67818343929026e-48,-1.317906,-0.726425,0.591481,0.568
"414","Etv6","hurdle",6.4640941109808e-46,-1.2197404,-0.6383975,0.5813429,0.568
"333","Dlgap5","hurdle",4.11025826033039e-97,-2.548976,-1.584237,0.964739,0.568
"294","Cpsf6","hurdle",8.38403129340241e-45,-1.1767269,-0.6355772,0.5411497,0.568
"222","Cenpq","hurdle",6.50118782776745e-71,-2.148564,-1.352398,0.796166,0.568
"159","Ccar1","hurdle",1.54480964281758e-48,-1.2233533,-0.6440546,0.5792987,0.568
"123","Bmyc","hurdle",1.7449649538772e-41,-1.0142617,-0.5043756,0.5098861,0.568
"92","Atg101","hurdle",2.58171367073303e-43,-1.02368,-0.512114,0.511566,0.568
"1431","Vezf1","hurdle",1.65875970780178e-49,-1.4091828,-0.7995099,0.6096729,0.567
"1395","Twistnb","hurdle",2.32953481654772e-45,-1.3511155,-0.7900713,0.5610442,0.567
"1115","Rpa1","hurdle",8.50514748749315e-49,-1.4852161,-0.8840067,0.6012094,0.567
"975","Polr3h","hurdle",2.13025182239131e-48,-1.4761363,-0.8940826,0.5820537,0.567
"859","Nsmce2","hurdle",2.13338477199287e-53,-1.6206306,-0.9595847,0.6610459,0.567
"727","Med4","hurdle",3.10962191335547e-58,-1.84269,-1.148682,0.694008,0.567
"302","Ctps","hurdle",4.46412367761439e-53,-1.72176,-1.080937,0.640823,0.567
"194","Cdca7l","hurdle",4.38067934934233e-53,-1.675991,-1.04214,0.633851,0.567
"77","Arhgef39","hurdle",1.65300979424004e-67,-2.052247,-1.294533,0.757714,0.567
"50","Akip1","hurdle",5.72331150847221e-45,-1.3055984,-0.7713772,0.5342212,0.567
"1438","Wbp4","hurdle",4.52048598809835e-41,-1.0606894,-0.5408487,0.5198407,0.566
"1285","Supt16","hurdle",2.29202126843716e-54,-1.780692,-1.114903,0.665789,0.566
"1128","Rpp30","hurdle",3.6181870608317e-52,-1.654859,-1.013483,0.641376,0.566
"1107","Rnf220","hurdle",1.61773413511021e-44,-1.3373481,-0.7706035,0.5667446,0.566
"1001","Prmt7","hurdle",2.22358984305675e-45,-1.4079489,-0.8411398,0.5668091,0.566
"882","Nup85","hurdle",2.11486548945776e-55,-1.79675,-1.104142,0.692608,0.566
"874","Numa1","hurdle",4.42014713968566e-40,-1.0344299,-0.5290243,0.5054056,0.566
"870","Nudcd3","hurdle",3.87940443208064e-45,-1.3148189,-0.7598152,0.5550037,0.566
"791","Myg1","hurdle",2.5493208936385e-40,-1.1049906,-0.6028459,0.5021447,0.566
"622","Ing1","hurdle",2.12456248371583e-52,-1.68992,-1.051507,0.638413,0.566
"459","Fopnl","hurdle",1.60554967657146e-43,-1.133598,-0.608365,0.525233,0.566
"281","Cnot6","hurdle",1.7283912905777e-46,-1.4026142,-0.8161777,0.5864365,0.566
"224","Cenpu","hurdle",4.31706887377478e-82,-2.408278,-1.524322,0.883956,0.566
"109","BC021891","hurdle",5.11629546574727e-52,-1.674507,-1.026355,0.648152,0.566
"61","Anln","hurdle",6.7298044086262e-88,-2.470458,-1.584237,0.886221,0.566
"49","Akap9","hurdle",2.8778395960465e-40,-0.8999934,-0.396597,0.5033964,0.566
"1463","Zak","hurdle",2.69944758305475e-54,-1.834931,-1.174034,0.660897,0.565
"880","Nup43","hurdle",3.36290398488634e-51,-1.723805,-1.097335,0.62647,0.565
"814","Ndc1","hurdle",2.06506303528971e-61,-1.998637,-1.311313,0.687324,0.565
"737","Mfsd10","hurdle",2.64888584699415e-41,-1.229516,-0.7107572,0.5187588,0.565
"611","Ift27","hurdle",1.45871772015966e-51,-1.710561,-1.07902,0.631541,0.565
"600","Htra2","hurdle",3.36730923614181e-47,-1.527021,-0.9316416,0.5953794,0.565
"442","Fam92a","hurdle",6.16883190295536e-52,-1.681447,-1.022665,0.658782,0.565
"405","Eri1","hurdle",1.14760544683336e-52,-1.686924,-1.017149,0.669775,0.565
"387","Elf1","hurdle",2.37667654333119e-42,-0.9974614,-0.4776134,0.519848,0.565
"328","Dhfr","hurdle",2.54619427605681e-41,-1.0990046,-0.5581012,0.5409034,0.565
"282","Cntrl","hurdle",3.62120187735411e-73,-2.237092,-1.385183,0.851909,0.565
"211","Cebpz","hurdle",3.81627182018187e-43,-1.2812947,-0.7286773,0.5526174,0.565
"82","Armc10","hurdle",4.35748688117446e-41,-1.173578,-0.648312,0.525266,0.565
"59","Ankle1","hurdle",4.39093930682206e-93,-2.586637,-1.638256,0.948381,0.565
"1400","U2af2","hurdle",6.82132284522571e-41,-1.0917219,-0.5803001,0.5114218,0.564
"1055","Rad54l","hurdle",1.24146981066205e-68,-2.200314,-1.430902,0.769412,0.564
"946","Pkmyt1","hurdle",5.08380507216943e-61,-2.036907,-1.297873,0.739034,0.564
"807","Ncapd3","hurdle",1.30710690351418e-60,-2.043279,-1.31582,0.727459,0.564
"397","Engase","hurdle",6.10393661080277e-42,-1.2983404,-0.7498693,0.5484711,0.564
"368","Eftud2","hurdle",7.98903942413875e-44,-1.4079489,-0.8460215,0.5619274,0.564
"239","Cetn2","hurdle",3.18437880541584e-39,-1.1596666,-0.6554357,0.5042309,0.564
"155","Cbx3","hurdle",3.30573600731856e-56,-1.931501,-1.253959,0.677542,0.564
"11","2310040G24Rik","hurdle",1.09985188640875e-45,-1.5141306,-0.9438002,0.5703304,0.564
"1480","Zfp664","hurdle",9.38884074573435e-41,-1.268921,-0.730933,0.537988,0.563
"1444","Wdr43","hurdle",4.55781567441261e-40,-1.3213859,-0.7947829,0.526603,0.563
"1299","Tamm41","hurdle",6.15279605078416e-42,-1.412478,-0.865715,0.546763,0.563
"1071","Rbm3","hurdle",2.23620925530089e-51,-1.786025,-1.131694,0.654331,0.563
"1007","Prpf4b","hurdle",1.1709357076995e-41,-1.3774399,-0.8217766,0.5556633,0.563
"996","Prelp","hurdle",1.70717131977649e-53,-1.867915,-1.19568,0.672235,0.563
"815","Ndc80","hurdle",4.21902433213248e-105,-2.792343,-1.786782,1.005561,0.563
"758","Mpzl2","hurdle",8.51041889600333e-44,-1.3981156,-0.8209755,0.5771401,0.563
"400","Ephb3","hurdle",9.7978196894238e-52,-1.80593,-1.149688,0.656242,0.563
"275","Clspn","hurdle",1.33497192432705e-81,-2.461897,-1.545341,0.916556,0.563
"115","Bcl2l12","hurdle",3.12658739191476e-40,-1.3550733,-0.8517377,0.5033356,0.563
"1464","Zbed3","hurdle",7.94593006644052e-56,-1.862835,-1.149688,0.713147,0.562
"1449","Wipi1","hurdle",2.63911283764546e-49,-1.746499,-1.099277,0.647222,0.562
"1387","Ttk","hurdle",5.76691360030578e-97,-2.73037,-1.751242,0.979128,0.562
"1332","Tlk1","hurdle",1.27084698245869e-41,-1.4488117,-0.9033811,0.5454306,0.562
"1043","Qsox2","hurdle",9.96318930522248e-44,-1.594663,-1.025431,0.569232,0.562
"899","Pafah1b2","hurdle",3.04468734047343e-38,-1.2211845,-0.7189429,0.5022416,0.562
"810","Ncaph","hurdle",1.50978190843904e-78,-2.478207,-1.597897,0.88031,0.562
"603","Iars2","hurdle",5.530703432109e-43,-1.523899,-0.954304,0.569595,0.562
"538","Haus8","hurdle",6.26612723775269e-56,-2.002978,-1.305698,0.69728,0.562
"460","Foxm1","hurdle",2.17631153690007e-75,-2.376555,-1.553303,0.823252,0.562
"187","Cdc42ep1","hurdle",1.65667504951989e-56,-2.025509,-1.326014,0.699495,0.562
"91","Atf1","hurdle",6.90663201044524e-45,-1.5696136,-0.9817982,0.5878154,0.562
"1482","Zfp704","hurdle",2.23333034453134e-41,-1.5123616,-0.9411861,0.5711755,0.561
"1468","Zfand1","hurdle",8.22610700943743e-40,-1.4157813,-0.8840067,0.5317746,0.561
"1375","Trmt6","hurdle",1.3954834148171e-41,-1.5230082,-0.9657701,0.5572381,0.561
"1306","Tctex1d2","hurdle",7.51692815350553e-49,-1.825016,-1.178132,0.646884,0.561
"1290","Syce2","hurdle",9.10154643403432e-42,-1.4683988,-0.8983018,0.570097,0.561
"1216","Smn1","hurdle",7.8887486960962e-38,-1.3670123,-0.8640636,0.5029487,0.561
"1082","Rdm1","hurdle",1.37072446385165e-50,-1.848815,-1.185332,0.663483,0.561
"968","Polr2a","hurdle",4.16924544000946e-42,-1.5150159,-0.9385768,0.5764391,0.561
"943","Pitx1","hurdle",1.08056607323249e-44,-1.68942,-1.106092,0.583328,0.561
"878","Nup35","hurdle",3.18240087896581e-58,-2.11462,-1.389928,0.724692,0.561
"871","Nudt1","hurdle",1.42912322205351e-37,-1.193637,-0.6850164,0.5086206,0.561
"863","Nt5c3b","hurdle",6.80192837657232e-45,-1.699952,-1.123768,0.576184,0.561
"781","Mta1","hurdle",1.13808037971034e-41,-1.45985,-0.8840067,0.5758433,0.561
"752","Morf4l1","hurdle",1.40044875213642e-41,-1.3213859,-0.7706035,0.5507824,0.561
"651","Kif2a","hurdle",2.02911038376755e-39,-1.3899722,-0.8591206,0.5308516,0.561
"625","Ino80e","hurdle",1.41204860034864e-42,-1.4956636,-0.9238791,0.5717845,0.561
"512","Gtf3c2","hurdle",1.72978968393465e-38,-1.3444121,-0.8201747,0.5242374,0.561
"388","Elf2","hurdle",7.37598436095214e-44,-1.4735525,-0.8907161,0.5828364,0.561
"18","4930427A07Rik","hurdle",2.28046117955364e-62,-2.208884,-1.458049,0.750835,0.561
"1441","Wdr12","hurdle",4.17691973360352e-41,-1.60688,-1.072331,0.534549,0.56
"1280","Strip1","hurdle",3.22159163333571e-43,-1.616824,-1.025431,0.591393,0.56
"1188","Sipa1l1","hurdle",8.6159332008447e-38,-1.3602348,-0.8427652,0.5174696,0.56
"998","Prkci","hurdle",7.95056598100241e-40,-1.5141306,-0.9826939,0.5314367,0.56
"631","Irgm1","hurdle",7.11742161732539e-41,-1.421165,-0.8145819,0.6065831,0.56
"502","Gpn3","hurdle",3.14356695460144e-44,-1.649989,-1.047753,0.602236,0.56
"300","Ctc1","hurdle",3.0737196803791e-57,-2.142395,-1.416308,0.726087,0.56
"174","Cd14","hurdle",1.24692458458977e-50,-1.906891,-1.223995,0.682896,0.56
"76","Arhgef26","hurdle",6.19411295731671e-46,-1.716659,-1.07902,0.637639,0.56
"74","Arhgap39","hurdle",1.76699229877559e-46,-1.799984,-1.181213,0.618771,0.56
"45","Ahcy","hurdle",3.83633534880035e-38,-1.4658288,-0.9516709,0.5141579,0.56
"1454","Xrcc1","hurdle",4.85571494013541e-43,-1.675496,-1.085741,0.589755,0.559
"1384","Ttc32","hurdle",1.35006641217783e-37,-1.3455928,-0.8241829,0.5214099,0.559
"1367","Trappc13","hurdle",3.45702677570616e-38,-1.4365986,-0.9084783,0.5281203,0.559
"1330","Tiprl","hurdle",1.09080875558414e-37,-1.296436,-0.783813,0.512623,0.559
"1208","Smarce1","hurdle",4.17925975149119e-39,-1.5136881,-0.9728718,0.5408163,0.559
"1170","Sf3a2","hurdle",7.9621022293368e-40,-1.551789,-1.004359,0.54743,0.559
"1144","Rtp4","hurdle",8.35850815148244e-34,-0.7582961,-0.247055,0.5112411,0.559
"1131","Rps6kb1","hurdle",8.92924909432837e-37,-1.385513,-0.878995,0.506518,0.559
"1077","Rbmx","hurdle",1.64809169959042e-40,-1.5540622,-0.9862823,0.5677799,0.559
"909","Parva","hurdle",6.14680396848639e-39,-1.522118,-0.978221,0.543897,0.559
"888","Oip5","hurdle",5.15589410793295e-84,-2.656226,-1.740597,0.915629,0.559
"796","N6amt1","hurdle",4.82863884817379e-44,-1.698945,-1.096365,0.60258,0.559
"783","Mtf2","hurdle",5.94709406174943e-48,-1.914463,-1.264813,0.64965,0.559
"700","Lysmd2","hurdle",3.44793364133864e-42,-1.57422,-0.984487,0.589733,0.559
"677","Lims1","hurdle",4.30723149637011e-37,-1.4560195,-0.9359722,0.5200473,0.559
"509","Gtf2h3","hurdle",1.94632075538696e-39,-1.531045,-0.9898796,0.5411654,0.559
"496","Gmps","hurdle",2.41717330557263e-38,-1.4718326,-0.9587033,0.5131293,0.559
"338","Dnajc22","hurdle",7.03809816697909e-38,-1.1482896,-0.6369867,0.5113029,0.559
"273","Clic4","hurdle",4.64024998099802e-52,-1.980793,-1.271365,0.709428,0.559
"260","Cited4","hurdle",2.54428861555434e-38,-1.413716,-0.9067773,0.5069387,0.559
"250","Chd7","hurdle",3.74216363346645e-38,-1.4589979,-0.9221598,0.5368381,0.559
"94","Atp2c1","hurdle",3.42130887755635e-46,-1.767972,-1.146673,0.621299,0.559
"31","Acad8","hurdle",6.65113501370517e-37,-1.4718326,-0.9640002,0.5078324,0.559
"1286","Suv39h1","hurdle",1.21730979008516e-48,-1.982629,-1.332851,0.649778,0.558
"1203","Smarcad1","hurdle",6.87091854642853e-43,-1.795136,-1.202967,0.592169,0.558
"978","Pou2f1","hurdle",6.22736693435977e-57,-2.203165,-1.476856,0.726309,0.558
"778","Msl3","hurdle",1.71739223205872e-39,-1.632591,-1.077106,0.555485,0.558
"749","Mms22l","hurdle",2.20142663719273e-44,-1.801603,-1.189462,0.612141,0.558
"662","Kpna2","hurdle",2.08003954577899e-75,-2.52025,-1.613073,0.907177,0.558
"633","Isy1","hurdle",1.50232532241795e-38,-1.559989,-1.018067,0.541922,0.558
"348","Dtx4","hurdle",4.3955654180878e-39,-1.5337339,-0.9773281,0.5564058,0.558
"223","Cenpt","hurdle",2.34339053887756e-63,-2.378165,-1.638256,0.739909,0.558
"1183","Sgol2a","hurdle",4.15072075998872e-101,-2.892324,-1.89223,1.000094,0.557
"1180","Sfrp5","hurdle",9.90413467773867e-41,-1.554517,-1.000726,0.553791,0.557
"1137","Rrp9","hurdle",2.62130545708841e-35,-1.4726923,-0.9666559,0.5060364,0.557
"853","Nr2e3","hurdle",1.29209408814421e-37,-1.5252362,-0.9719821,0.5532541,0.557
"489","Gle1","hurdle",1.03870135304707e-37,-1.552244,-1.00709,0.545154,0.557
"466","Fundc1","hurdle",6.78944398637883e-41,-1.723294,-1.148682,0.574612,0.557
"365","Eefsec","hurdle",5.34808293223878e-43,-1.86509,-1.273555,0.591535,0.557
"153","Cbfb","hurdle",3.69999517372309e-45,-1.946351,-1.331709,0.614642,0.557
"75","Arhgef12","hurdle",9.25685791331192e-37,-1.4913013,-0.9569419,0.5343594,0.557
"19","4930523C07Rik","hurdle",1.82508879327606e-55,-2.235632,-1.513926,0.721706,0.557
"1479","Zfp644","hurdle",3.14011148656944e-38,-1.66465,-1.103167,0.561483,0.556
"1456","Yaf2","hurdle",7.71100090679343e-40,-1.76481,-1.190496,0.574314,0.556
"1451","Wwp1","hurdle",3.15202902999722e-40,-1.762705,-1.181213,0.581492,0.556
"1440","Wbscr27","hurdle",4.10755387354209e-48,-1.971042,-1.282351,0.688691,0.556
"1046","Rad1","hurdle",3.30633971029888e-43,-1.862271,-1.253959,0.608312,0.556
"942","Pitrm1","hurdle",1.32094934376846e-47,-1.96015,-1.303458,0.656692,0.556
"919","Pcnp","hurdle",1.73778437324051e-35,-1.58673,-1.07902,0.50771,0.556
"887","Ogg1","hurdle",2.03343305682854e-43,-1.914463,-1.323743,0.59072,0.556
"861","Nsrp1","hurdle",9.11816227850943e-34,-1.3859176,-0.8840067,0.5019109,0.556
"801","Nadk2","hurdle",2.59356383388027e-40,-1.5590752,-0.9925835,0.5664917,0.556
"1467","Zdhhc16","hurdle",1.47169988474484e-34,-1.519895,-1.004359,0.515536,0.555
"1465","Zbtb38","hurdle",5.24601742842457e-36,-1.610187,-1.088631,0.521556,0.555
"1450","Wls","hurdle",2.49011838561741e-36,-1.68493,-1.162824,0.522106,0.555
"1319","Thumpd1","hurdle",8.04292495499172e-33,-1.4001587,-0.8999929,0.5001658,0.555
"1308","Tdp2","hurdle",4.30728287721381e-38,-1.662196,-1.106092,0.556104,0.555
"1218","Sms","hurdle",1.74736239825275e-36,-1.600289,-1.05999,0.540299,0.555
"1023","Psmc3ip","hurdle",5.93280398054783e-56,-2.303608,-1.562648,0.74096,0.555
"922","Pde6d","hurdle",8.31790549506892e-36,-1.586264,-1.0581,0.528164,0.555
"877","Nup210","hurdle",4.63220980580719e-40,-1.820631,-1.235693,0.584938,0.555
"838","Noc4l","hurdle",3.51935432510488e-39,-1.75903,-1.192567,0.566463,0.555
"733","Mettl10","hurdle",9.20746475115174e-37,-1.646589,-1.114903,0.531686,0.555
"464","Ftsj3","hurdle",1.39535527419091e-38,-1.752229,-1.178132,0.574097,0.555
"297","Csnk1e","hurdle",1.00399271190599e-39,-1.799444,-1.216601,0.582843,0.555
"201","Cdk5rap2","hurdle",4.48168621040471e-70,-2.591297,-1.743631,0.847666,0.555
"158","Cby1","hurdle",2.22225266094047e-37,-1.717677,-1.16384,0.553837,0.555
"103","B3glct","hurdle",3.86904024172437e-42,-1.792451,-1.188428,0.604023,0.555
"40","Afap1l1","hurdle",1.17057763805551e-41,-1.87813,-1.287875,0.590255,0.555
"1473","Zfp326","hurdle",1.67050676890207e-40,-1.888418,-1.288983,0.599435,0.554
"1472","Zfp292","hurdle",2.78338325776615e-34,-1.4483888,-0.9230192,0.5253696,0.554
"1403","Ubald1","hurdle",3.39103692188384e-33,-1.540929,-1.03841,0.502519,0.554
"1354","Tnfsf10","hurdle",8.30072887584461e-34,-1.545896,-1.029128,0.516768,0.554
"1167","Sesn3","hurdle",1.27613497401146e-50,-2.208884,-1.517815,0.691069,0.554
"1044","R3hdm1","hurdle",2.37369539513362e-35,-1.639814,-1.108046,0.531768,0.554
"992","Ppp2r2a","hurdle",4.79033391615401e-33,-1.4847825,-0.9835902,0.5011923,0.554
"977","Pom121","hurdle",4.91262039677991e-37,-1.713607,-1.155736,0.557871,0.554
"925","Pelp1","hurdle",1.08644521714375e-38,-1.805389,-1.236761,0.568628,0.554
"844","Nop14","hurdle",1.12682202559673e-36,-1.647075,-1.085741,0.561334,0.554
"688","Lrrc58","hurdle",2.97529735240795e-35,-1.639814,-1.110002,0.529812,0.554
"670","Lancl1","hurdle",6.29656696746492e-39,-1.877561,-1.316949,0.560612,0.554
"472","G2e3","hurdle",5.21688944302761e-70,-2.575512,-1.707644,0.867868,0.554
"454","Fiz1","hurdle",1.8273968360498e-33,-1.57884,-1.072331,0.506509,0.554
"146","C330027C09Rik","hurdle",2.50449461297431e-68,-2.611039,-1.802512,0.808527,0.554
"1265","Ss18","hurdle",2.24825608408058e-39,-1.946351,-1.381634,0.564717,0.553
"1195","Slc14a1","hurdle",6.08191065431651e-55,-2.351036,-1.61446,0.736576,0.553
"1078","Rbmx2","hurdle",1.80337057180365e-48,-2.240017,-1.563988,0.676029,0.553
"931","Phf3","hurdle",4.46840811405896e-33,-1.558162,-1.047753,0.510409,0.553
"920","Pcnt","hurdle",1.69928255145464e-45,-2.103925,-1.446882,0.657043,0.553
"875","Nup133","hurdle",1.07560579718791e-51,-2.323633,-1.64817,0.675463,0.553
"854","Nrf1","hurdle",1.43224565408527e-38,-1.88498,-1.322608,0.562372,0.553
"834","Nle1","hurdle",1.15559854022345e-35,-1.715641,-1.179158,0.536483,0.553
"823","Nfia","hurdle",3.11926920731728e-37,-1.808641,-1.243186,0.565455,0.553
"559","Hist1h4d","hurdle",6.36995149167112e-78,-2.741725,-1.834495,0.90723,0.553
"516","Gusb","hurdle",1.10921689718987e-32,-1.4696855,-0.9595847,0.5101008,0.553
"458","Fmr1","hurdle",3.94250486991129e-39,-1.829414,-1.23997,0.589444,0.553
"420","Exosc2","hurdle",1.57049665890903e-35,-1.737689,-1.209244,0.528445,0.553
"409","Espl1","hurdle",1.05279207248726e-77,-2.758401,-1.893914,0.864487,0.553
"351","Dxo","hurdle",9.44859624985185e-33,-1.588592,-1.087667,0.500925,0.553
"188","Cdc45","hurdle",9.75150417838422e-62,-2.50786,-1.743631,0.764229,0.553
"44","Ahctf1","hurdle",1.15948705852069e-38,-1.852167,-1.282351,0.569816,0.553
"1425","Utp14a","hurdle",2.05704790810505e-32,-1.615399,-1.11294,0.502459,0.552
"1323","Tiam1","hurdle",1.7167850622912e-58,-2.490343,-1.727025,0.763318,0.552
"1118","Rpain","hurdle",8.29160663794095e-35,-1.733046,-1.185332,0.547714,0.552
"962","Pold3","hurdle",6.4762951215574e-35,-1.722271,-1.181213,0.541058,0.552
"848","Nop9","hurdle",4.17011856036802e-35,-1.677973,-1.138665,0.539308,0.552
"825","Nfic","hurdle",2.11947793783927e-36,-1.805389,-1.255041,0.550348,0.552
"805","Nav2","hurdle",6.67478754343051e-33,-1.633071,-1.124756,0.508315,0.552
"703","Maged1","hurdle",3.69768089039403e-38,-1.901092,-1.326014,0.575078,0.552
"481","Gemin2","hurdle",5.18651145052036e-37,-1.888418,-1.331709,0.556709,0.552
"128","Bora","hurdle",1.41562615953483e-49,-2.239285,-1.597897,0.641388,0.552
"1390","Tubb2a","hurdle",8.3044770319823e-56,-2.363739,-1.718048,0.645691,0.551
"1385","Ttc9c","hurdle",5.42187434261375e-33,-1.709547,-1.19568,0.513867,0.551
"1373","Trit1","hurdle",2.05142195206134e-38,-1.902829,-1.298988,0.603841,0.551
"1370","Trim37","hurdle",3.31942629212679e-46,-2.245149,-1.600644,0.644505,0.551
"1301","Tcf19","hurdle",5.38337172642503e-37,-1.782823,-1.161809,0.621014,0.551
"1187","Siah1b","hurdle",4.50562357577731e-59,-2.559897,-1.810441,0.749456,0.551
"990","Ppp1r8","hurdle",3.54034441806861e-32,-1.650962,-1.146673,0.504289,0.551
"886","Odf2","hurdle",9.95163153231778e-48,-2.283858,-1.600644,0.683214,0.551
"754","Mphosph8","hurdle",9.87672508659892e-32,-1.655835,-1.14567,0.510165,0.551
"748","Mmp14","hurdle",1.91640847533936e-38,-1.884408,-1.279046,0.605362,0.551
"658","Kmt2a","hurdle",4.24322859949051e-31,-1.603581,-1.102194,0.501387,0.551
"599","Htatsf1","hurdle",4.01051789276788e-33,-1.703984,-1.181213,0.522771,0.551
"587","Hnrnph2","hurdle",2.66451897936637e-35,-1.867915,-1.326014,0.541901,0.551
"457","Flywch2","hurdle",3.10463406430241e-37,-1.724317,-1.13667,0.587647,0.551
"440","Fam83d","hurdle",3.19599801385416e-62,-2.545354,-1.766587,0.778767,0.551
"332","Dlgap4","hurdle",4.11906374448185e-35,-1.595599,-1.04214,0.553459,0.551
"311","D930015E06Rik","hurdle",1.17468829108239e-47,-2.267354,-1.586959,0.680395,0.551
"270","Clcc1","hurdle",5.69460906546208e-33,-1.740275,-1.21871,0.521565,0.551
"184","Cdc25c","hurdle",1.08052905175516e-68,-2.69082,-1.847489,0.843331,0.551
"151","Carnmt1","hurdle",1.96628076222673e-39,-2.058042,-1.474334,0.583708,0.551
"66","Apip","hurdle",3.59211838578511e-48,-2.293699,-1.621419,0.67228,0.551
"29","Abhd10","hurdle",1.00555746386775e-34,-1.785491,-1.238899,0.546592,0.551
"1412","Ube2s","hurdle",1.24069955759224e-59,-2.599725,-1.831264,0.768461,0.55
"1240","Sorbs2","hurdle",1.94799373407915e-39,-2.012948,-1.426021,0.586927,0.55
"1155","Scn2b","hurdle",6.14814618991118e-45,-2.174207,-1.49208,0.682127,0.55
"1109","Rnf38","hurdle",8.84686712220999e-34,-1.816805,-1.288983,0.527822,0.55
"726","Med31","hurdle",2.47665069074804e-34,-1.815714,-1.277946,0.537768,0.55
"547","Hiat1","hurdle",4.0863062662707e-34,-1.829965,-1.290091,0.539874,0.55
"463","Fto","hurdle",2.23421880454155e-31,-1.694426,-1.192567,0.501859,0.55
"444","Farp1","hurdle",2.08564559637606e-35,-1.910381,-1.357036,0.553345,0.55
"345","Dscc1","hurdle",2.8593814556671e-57,-2.541741,-1.783657,0.758084,0.55
"227","Cep164","hurdle",6.91815201358706e-31,-1.579766,-1.07615,0.503616,0.55
"41","Aggf1","hurdle",2.03362234460661e-31,-1.639814,-1.133682,0.506132,0.55
"2","0610009O20Rik","hurdle",4.42837242602424e-33,-1.74546,-1.215547,0.529913,0.55
"1487","Znhit6","hurdle",6.69672464816853e-34,-1.815714,-1.261548,0.554166,0.549
"1192","Ska3","hurdle",7.83940647355347e-68,-2.747956,-1.933199,0.814757,0.549
"1191","Ska2","hurdle",3.23285297179568e-58,-2.61483,-1.872174,0.742656,0.549
"1085","Rest","hurdle",4.16743299264584e-36,-1.957741,-1.373388,0.584353,0.549
"960","Pold1","hurdle",3.16957286286179e-32,-1.776439,-1.24426,0.532179,0.549
"785","Mum1","hurdle",5.53274966294181e-32,-1.767972,-1.242113,0.525859,0.549
"739","Mia","hurdle",3.27435836483521e-32,-1.757458,-1.234625,0.522833,0.549
"606","Iffo2","hurdle",4.67016023827562e-40,-2.138979,-1.523018,0.615961,0.549
"483","Gins1","hurdle",5.68516789709549e-45,-2.317442,-1.687059,0.630383,0.549
"427","Faap24","hurdle",6.53650080324094e-45,-2.287635,-1.627009,0.660626,0.549
"356","E2f8","hurdle",6.97201071888689e-43,-2.224005,-1.580165,0.64384,0.549
"309","Cyp2e1","hurdle",9.15836989545412e-41,-2.035636,-1.387553,0.648083,0.549
"245","Chaf1a","hurdle",1.91610082950789e-34,-1.897625,-1.33972,0.557905,0.549
"96","AU020206","hurdle",1.77503435654069e-33,-1.868481,-1.338573,0.529908,0.549
"27","Aaas","hurdle",1.96023256535063e-48,-2.400895,-1.71358,0.687315,0.549
